ANDHRA PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
ITC LTD.16,INDIAN OIL CORPORATION LTD.16,NTPC LTD.16,INDUSIND BANK LTD.14,SHREE CEMENT LTD.15,LARSEN & TOUBRO LTD.18,,HDFC Bank Ltd18,ASIAN PAINTS LTD.16,GODREJ CONSUMER PRODUCTS LTD.14,,,COAL INDIA LTD.16,JSW STEEL LTD.17,NTPC LTD.15,GODREJ CONSUMER PRODUCTS LTD.17,BOSCH LTD.17,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17,MARUTI SUZUKI INDIA LTD.17,BHARTI AIRTEL LTD.18,,NTPC LTD.18,,,BHARTI INFRATEL LTD.16,Titan Company Limited15,
TECH MAHINDRA LTD.15,HINDUSTAN UNILEVER LTD.16,BHARTI AIRTEL LTD.16,STATE BANK OF INDIA14,ULTRATECH CEMENT LTD.14,KOTAK MAHINDRA BANK LTD.18,,RELIANCE INDUSTRIES LTD.18,SUN PHARMACEUTICAL INDUSTRIES LTD.16,,,,NTPC LTD.16,TECH MAHINDRA LTD.17,BHARAT PETROLEUM CORPORATION LTD.14,INDUSIND BANK LTD.17,WIPRO LTD.17,,BHARTI INFRATEL LTD.17,WIPRO LTD.16,MARUTI SUZUKI INDIA LTD.18,,BOSCH LTD.17,,,DABUR INDIA LTD.16,WIPRO LTD.15,
STATE BANK OF INDIA15,BHARTI INFRATEL LTD.16,SHREE CEMENT LTD.16,HOUSING DEVELOPMENT FINANCE CORP.LTD.14,KOTAK MAHINDRA BANK LTD.14,STATE BANK OF INDIA18,,ITC LTD.18,HERO MOTOCORP LTD.16,,,,TATA STEEL LTD.15,Avenue Supermarts Ltd17,STATE BANK OF INDIA14,ULTRATECH CEMENT LTD.17,BRITANNIA INDUSTRIES LTD.17,,INFOSYS LTD.16,BAJAJ FINSERV LTD.16,BOSCH LTD.17,,WIPRO LTD.17,,,HCL TECHNOLOGIES LTD.16,BAJAJ AUTO LTD.15,
TATA CONSULTANCY SERVICES LTD.15,POWER GRID CORPORATION OF INDIA LTD.16,KOTAK MAHINDRA BANK LTD.15,,SHREE CEMENT LTD.14,HOUSING DEVELOPMENT FINANCE CORP.LTD.18,,GAIL (INDIA) LTD.18,HCL TECHNOLOGIES LTD.16,,,,JSW STEEL LTD.15,BAJAJ FINSERV LTD.17,NTPC LTD.14,TATA CONSULTANCY SERVICES LTD.17,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17,,TATA STEEL LTD.16,HDFC Bank Ltd16,Vedanta Limited17,,JSW STEEL LTD.17,,,BHARTI INFRATEL LTD.15,HINDUSTAN ZINC LTD.15,
ITC LTD.15,OIL AND NATURAL GAS CORPORATION LTD.16,HINDUSTAN UNILEVER LTD.15,,,HDFC Bank Ltd18,,OIL AND NATURAL GAS CORPORATION LTD.18,MARUTI SUZUKI INDIA LTD.16,,,,COAL INDIA LTD.15,Bajaj Finance Limited17,BHARTI AIRTEL LTD.14,RELIANCE INDUSTRIES LTD.17,SUN PHARMACEUTICAL INDUSTRIES LTD.17,,COAL INDIA LTD.16,SUN PHARMACEUTICAL INDUSTRIES LTD.16,MAHINDRA & MAHINDRA LTD.17,,BAJAJ AUTO LTD.17,,,DABUR INDIA LTD.15,Titan Company Limited14,
TECH MAHINDRA LTD.14,PIDILITE INDUSTRIES LTD.15,BRITANNIA INDUSTRIES LTD.15,,,TATA CONSULTANCY SERVICES LTD.18,,MARUTI SUZUKI INDIA LTD.18,ASIAN PAINTS LTD.15,,,,TATA STEEL LTD.14,KOTAK MAHINDRA BANK LTD.17,,SUN PHARMACEUTICAL INDUSTRIES LTD.17,AXIS BANK LTD.17,,TATA STEEL LTD.15,NESTLE INDIA LTD.16,Avenue Supermarts Ltd17,,ASIAN PAINTS LTD.17,,,NTPC LTD.15,WIPRO LTD.14,
ITC LTD.14,INDIAN OIL CORPORATION LTD.15,POWER GRID CORPORATION OF INDIA LTD.15,,,COAL INDIA LTD.18,,HINDUSTAN ZINC LTD.18,RELIANCE INDUSTRIES LTD.15,,,,JSW STEEL LTD.14,HOUSING DEVELOPMENT FINANCE CORP.LTD.17,,GODREJ CONSUMER PRODUCTS LTD.16,ICICI BANK LTD.17,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15,BHARTI AIRTEL LTD.16,ULTRATECH CEMENT LTD.17,,LARSEN & TOUBRO LTD.17,,,HCL TECHNOLOGIES LTD.15,BAJAJ AUTO LTD.14,
,HINDUSTAN UNILEVER LTD.15,NTPC LTD.15,,,ITC LTD.18,,PIDILITE INDUSTRIES LTD.17,BHARTI INFRATEL LTD.15,,,,COAL INDIA LTD.14,BRITANNIA INDUSTRIES LTD.17,,INDUSIND BANK LTD.16,GAIL (INDIA) LTD.17,,POWER GRID CORPORATION OF INDIA LTD.15,MARUTI SUZUKI INDIA LTD.16,STATE BANK OF INDIA17,,HOUSING DEVELOPMENT FINANCE CORP.LTD.17,,,NTPC LTD.14,HOUSING DEVELOPMENT FINANCE CORP.LTD.14,
,GAIL (INDIA) LTD.15,SHREE CEMENT LTD.15,,,AXIS BANK LTD.18,,Avenue Supermarts Ltd17,HERO MOTOCORP LTD.15,,,,,NESTLE INDIA LTD.17,,ULTRATECH CEMENT LTD.16,HINDUSTAN ZINC LTD.17,,TATA STEEL LTD.14,INFOSYS LTD.15,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17,,HINDUSTAN UNILEVER LTD.17,,,HCL TECHNOLOGIES LTD.14,HDFC Bank Ltd14,
,OIL AND NATURAL GAS CORPORATION LTD.15,HDFC Bank Ltd14,,,ICICI BANK LTD.18,,BAJAJ FINSERV LTD.17,POWER GRID CORPORATION OF INDIA LTD.15,,,,,HCL TECHNOLOGIES LTD.17,,Bajaj Finance Limited16,BOSCH LTD.16,,BHARTI INFRATEL LTD.14,HDFC Bank Ltd15,ICICI BANK LTD.17,,HCL TECHNOLOGIES LTD.17,,,,RELIANCE INDUSTRIES LTD.14,
,PIDILITE INDUSTRIES LTD.14,BRITANNIA INDUSTRIES LTD.14,,,SHREE CEMENT LTD.18,,INDIAN OIL CORPORATION LTD.17,BHARTI AIRTEL LTD.15,,,,,Titan Company Limited16,,HDFC Bank Ltd16,BRITANNIA INDUSTRIES LTD.16,,HINDUSTAN ZINC LTD.14,SUN PHARMACEUTICAL INDUSTRIES LTD.15,HERO MOTOCORP LTD.17,,HINDUSTAN ZINC LTD.17,,,,HERO MOTOCORP LTD.14,
,INDIAN OIL CORPORATION LTD.14,POWER GRID CORPORATION OF INDIA LTD.14,,,Titan Company Limited17,,ASIAN PAINTS LTD.17,HCL TECHNOLOGIES LTD.15,,,,,Vedanta Limited16,,TATA CONSULTANCY SERVICES LTD.16,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16,,,AXIS BANK LTD.15,NESTLE INDIA LTD.17,,BOSCH LTD.16,,,,DABUR INDIA LTD.14,
,HINDUSTAN UNILEVER LTD.14,NTPC LTD.14,,,WIPRO LTD.17,,LARSEN & TOUBRO LTD.17,MARUTI SUZUKI INDIA LTD.15,,,,,JSW STEEL LTD.16,,RELIANCE INDUSTRIES LTD.16,SUN PHARMACEUTICAL INDUSTRIES LTD.16,,,NESTLE INDIA LTD.15,BHARTI AIRTEL LTD.17,,JSW STEEL LTD.16,,,,,
,COAL INDIA LTD.14,SHREE CEMENT LTD.14,,,TATA STEEL LTD.17,,KOTAK MAHINDRA BANK LTD.17,ASIAN PAINTS LTD.14,,,,,BHARAT PETROLEUM CORPORATION LTD.16,,GODREJ CONSUMER PRODUCTS LTD.15,ICICI BANK LTD.16,,,BHARTI AIRTEL LTD.15,BOSCH LTD.16,,MAHINDRA & MAHINDRA LTD.16,,,,,
,GAIL (INDIA) LTD.14,,,,GODREJ CONSUMER PRODUCTS LTD.17,,HDFC Bank Ltd17,HERO MOTOCORP LTD.14,,,,,BAJAJ FINSERV LTD.16,,ULTRATECH CEMENT LTD.15,GAIL (INDIA) LTD.16,,,MARUTI SUZUKI INDIA LTD.15,Vedanta Limited16,,BAJAJ FINSERV LTD.16,,,,,
,OIL AND NATURAL GAS CORPORATION LTD.14,,,,BHARAT PETROLEUM CORPORATION LTD.17,,RELIANCE INDUSTRIES LTD.17,POWER GRID CORPORATION OF INDIA LTD.14,,,,,Bajaj Finance Limited16,,RELIANCE INDUSTRIES LTD.15,HINDUSTAN ZINC LTD.16,,,MAHINDRA & MAHINDRA LTD.14,BAJAJ AUTO LTD.16,,ASIAN PAINTS LTD.16,,,,,
,,,,,BAJAJ AUTO LTD.17,,ITC LTD.17,NESTLE INDIA LTD.14,,,,,HOUSING DEVELOPMENT FINANCE CORP.LTD.16,,SUN PHARMACEUTICAL INDUSTRIES LTD.15,BOSCH LTD.15,,,LARSEN & TOUBRO LTD.14,MAHINDRA & MAHINDRA LTD.16,,LARSEN & TOUBRO LTD.16,,,,,
,,,,,INDUSIND BANK LTD.17,,HERO MOTOCORP LTD.17,BHARTI AIRTEL LTD.14,,,,,BRITANNIA INDUSTRIES LTD.16,,GODREJ CONSUMER PRODUCTS LTD.14,WIPRO LTD.15,,,HDFC Bank Ltd14,ULTRATECH CEMENT LTD.16,,HOUSING DEVELOPMENT FINANCE CORP.LTD.16,,,,,
,,,,,INDIAN OIL CORPORATION LTD.17,,GAIL (INDIA) LTD.17,HCL TECHNOLOGIES LTD.14,,,,,AXIS BANK LTD.16,,AXIS BANK LTD.14,BRITANNIA INDUSTRIES LTD.15,,,AXIS BANK LTD.14,Bajaj Finance Limited16,,HINDUSTAN UNILEVER LTD.16,,,,,
,,,,,LARSEN & TOUBRO LTD.17,,OIL AND NATURAL GAS CORPORATION LTD.17,MARUTI SUZUKI INDIA LTD.14,,,,,NESTLE INDIA LTD.16,,BHARTI INFRATEL LTD.14,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15,,,NESTLE INDIA LTD.14,KOTAK MAHINDRA BANK LTD.16,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16,,,,,
,,,,,KOTAK MAHINDRA BANK LTD.17,,MARUTI SUZUKI INDIA LTD.17,,,,,,Titan Company Limited15,,,DABUR INDIA LTD.15,,,BHARTI AIRTEL LTD.14,STATE BANK OF INDIA16,,HCL TECHNOLOGIES LTD.16,,,,,
,,,,,STATE BANK OF INDIA17,,HINDUSTAN ZINC LTD.17,,,,,,Vedanta Limited15,,,HINDUSTAN ZINC LTD.15,,,MARUTI SUZUKI INDIA LTD.14,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16,,BOSCH LTD.15,,,,,
,,,,,HOUSING DEVELOPMENT FINANCE CORP.LTD.17,,PIDILITE INDUSTRIES LTD.16,,,,,,JSW STEEL LTD.15,,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14,,,,ICICI BANK LTD.16,,JSW STEEL LTD.15,,,,,
,,,,,HINDUSTAN UNILEVER LTD.17,,INDIAN OIL CORPORATION LTD.16,,,,,,TECH MAHINDRA LTD.15,,,SUN PHARMACEUTICAL INDUSTRIES LTD.14,,,,BHARTI INFRATEL LTD.16,,INDUSIND BANK LTD.15,,,,,
,,,,,TATA CONSULTANCY SERVICES LTD.17,,ASIAN PAINTS LTD.16,,,,,,HOUSING DEVELOPMENT FINANCE CORP.LTD.15,,,ICICI BANK LTD.14,,,,HERO MOTOCORP LTD.16,,ASIAN PAINTS LTD.15,,,,,
,,,,,COAL INDIA LTD.17,,LARSEN & TOUBRO LTD.16,,,,,,NESTLE INDIA LTD.15,,,DABUR INDIA LTD.14,,,,DABUR INDIA LTD.16,,LARSEN & TOUBRO LTD.15,,,,,
,,,,,ITC LTD.17,,KOTAK MAHINDRA BANK LTD.16,,,,,,Titan Company Limited14,,,HCL TECHNOLOGIES LTD.14,,,,BHARTI AIRTEL LTD.16,,HOUSING DEVELOPMENT FINANCE CORP.LTD.15,,,,,
,,,,,AXIS BANK LTD.17,,RELIANCE INDUSTRIES LTD.16,,,,,,Vedanta Limited14,,,,,,,BOSCH LTD.15,,TATA CONSULTANCY SERVICES LTD.15,,,,,
,,,,,ICICI BANK LTD.17,,ITC LTD.16,,,,,,JSW STEEL LTD.14,,,,,,,Vedanta Limited15,,WIPRO LTD.14,,,,,
,,,,,SHREE CEMENT LTD.17,,GAIL (INDIA) LTD.16,,,,,,BRITANNIA INDUSTRIES LTD.14,,,,,,,MAHINDRA & MAHINDRA LTD.15,,INFOSYS LTD.14,,,,,
,,,,,Titan Company Limited16,,OIL AND NATURAL GAS CORPORATION LTD.16,,,,,,NESTLE INDIA LTD.14,,,,,,,ULTRATECH CEMENT LTD.15,,JSW STEEL LTD.14,,,,,
,,,,,WIPRO LTD.16,,MARUTI SUZUKI INDIA LTD.16,,,,,,HINDUSTAN ZINC LTD.14,,,,,,,BAJAJ FINSERV LTD.15,,INDUSIND BANK LTD.14,,,,,
,,,,,INFOSYS LTD.16,,HINDUSTAN ZINC LTD.16,,,,,,,,,,,,,Bajaj Finance Limited15,,ASIAN PAINTS LTD.14,,,,,
,,,,,TATA STEEL LTD.16,,PIDILITE INDUSTRIES LTD.15,,,,,,,,,,,,,STATE BANK OF INDIA15,,HINDUSTAN UNILEVER LTD.14,,,,,
,,,,,GODREJ CONSUMER PRODUCTS LTD.16,,BHARAT PETROLEUM CORPORATION LTD.15,,,,,,,,,,,,,HDFC Bank Ltd15,,TATA CONSULTANCY SERVICES LTD.14,,,,,
,,,,,TECH MAHINDRA LTD.16,,MAHINDRA & MAHINDRA LTD.15,,,,,,,,,,,,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15,,SUN PHARMACEUTICAL INDUSTRIES LTD.14,,,,,
,,,,,BHARAT PETROLEUM CORPORATION LTD.16,,ULTRATECH CEMENT LTD.15,,,,,,,,,,,,,AXIS BANK LTD.15,,,,,,,
,,,,,BAJAJ AUTO LTD.16,,INDIAN OIL CORPORATION LTD.15,,,,,,,,,,,,,ICICI BANK LTD.15,,,,,,,
,,,,,INDUSIND BANK LTD.16,,ASIAN PAINTS LTD.15,,,,,,,,,,,,,BHARTI INFRATEL LTD.15,,,,,,,
,,,,,INDIAN OIL CORPORATION LTD.16,,Bajaj Finance Limited15,,,,,,,,,,,,,HERO MOTOCORP LTD.15,,,,,,,
,,,,,LARSEN & TOUBRO LTD.16,,LARSEN & TOUBRO LTD.15,,,,,,,,,,,,,DABUR INDIA LTD.15,,,,,,,
,,,,,KOTAK MAHINDRA BANK LTD.16,,KOTAK MAHINDRA BANK LTD.15,,,,,,,,,,,,,BHARTI AIRTEL LTD.15,,,,,,,
,,,,,STATE BANK OF INDIA16,,RELIANCE INDUSTRIES LTD.15,,,,,,,,,,,,,Vedanta Limited14,,,,,,,
,,,,,HOUSING DEVELOPMENT FINANCE CORP.LTD.16,,ITC LTD.15,,,,,,,,,,,,,BAJAJ AUTO LTD.14,,,,,,,
,,,,,TATA CONSULTANCY SERVICES LTD.16,,HERO MOTOCORP LTD.15,,,,,,,,,,,,,ULTRATECH CEMENT LTD.14,,,,,,,
,,,,,COAL INDIA LTD.16,,GAIL (INDIA) LTD.15,,,,,,,,,,,,,BAJAJ FINSERV LTD.14,,,,,,,
,,,,,ITC LTD.16,,OIL AND NATURAL GAS CORPORATION LTD.15,,,,,,,,,,,,,Bajaj Finance Limited14,,,,,,,
,,,,,AXIS BANK LTD.16,,MARUTI SUZUKI INDIA LTD.15,,,,,,,,,,,,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14,,,,,,,
,,,,,ICICI BANK LTD.16,,HINDUSTAN ZINC LTD.15,,,,,,,,,,,,,AXIS BANK LTD.14,,,,,,,
,,,,,SHREE CEMENT LTD.16,,PIDILITE INDUSTRIES LTD.14,,,,,,,,,,,,,ICICI BANK LTD.14,,,,,,,
,,,,,Titan Company Limited15,,TECH MAHINDRA LTD.14,,,,,,,,,,,,,BHARTI INFRATEL LTD.14,,,,,,,
,,,,,WIPRO LTD.15,,BHARAT PETROLEUM CORPORATION LTD.14,,,,,,,,,,,,,HERO MOTOCORP LTD.14,,,,,,,
,,,,,INFOSYS LTD.15,,MAHINDRA & MAHINDRA LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,GODREJ CONSUMER PRODUCTS LTD.15,,ULTRATECH CEMENT LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,TECH MAHINDRA LTD.15,,BAJAJ FINSERV LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,BHARAT PETROLEUM CORPORATION LTD.15,,INDIAN OIL CORPORATION LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,BAJAJ AUTO LTD.15,,ASIAN PAINTS LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,INDUSIND BANK LTD.15,,LARSEN & TOUBRO LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,INDIAN OIL CORPORATION LTD.15,,KOTAK MAHINDRA BANK LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,LARSEN & TOUBRO LTD.15,,TATA CONSULTANCY SERVICES LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,KOTAK MAHINDRA BANK LTD.15,,RELIANCE INDUSTRIES LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,STATE BANK OF INDIA15,,ITC LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,HOUSING DEVELOPMENT FINANCE CORP.LTD.15,,GAIL (INDIA) LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,HINDUSTAN UNILEVER LTD.15,,POWER GRID CORPORATION OF INDIA LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,HDFC Bank Ltd15,,OIL AND NATURAL GAS CORPORATION LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,TATA CONSULTANCY SERVICES LTD.15,,MARUTI SUZUKI INDIA LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,BRITANNIA INDUSTRIES LTD.15,,HINDUSTAN ZINC LTD.14,,,,,,,,,,,,,,,,,,,,
,,,,,COAL INDIA LTD.15,,,,,,,,,,,,,,,,,,,,,,
,,,,,ITC LTD.15,,,,,,,,,,,,,,,,,,,,,,
,,,,,AXIS BANK LTD.15,,,,,,,,,,,,,,,,,,,,,,
,,,,,ICICI BANK LTD.15,,,,,,,,,,,,,,,,,,,,,,
,,,,,SHREE CEMENT LTD.15,,,,,,,,,,,,,,,,,,,,,,
