,meanHQ,meanER,Month,BHARTI INFRATEL LTD.HQ,HERO MOTOCORP LTD.HQ,GAIL (INDIA) LTD.HQ,DABUR INDIA LTD.HQ,POWER GRID CORPORATION OF INDIA LTD.HQ,NESTLE INDIA LTD.HQ,NTPC LTD.HQ,BHARTI AIRTEL LTD.HQ,HCL TECHNOLOGIES LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.HQ,MARUTI SUZUKI INDIA LTD.HQ
39,-2.30956066706249,,May-2017,-3.66,-13.05,1.91,2.43,-0.1,0.68,2.65,-4.85,-6.52,4.97,-10.56
40,1.6056965066922533,,June-2017,-1.82,1.23,13.15,-4.49,-1.32,-0.99,1.0,-1.98,1.7,11.16,-0.04
41,-5.041356277515566,,July-2017,-7.26,1.15,-4.35,-6.14,-5.94,-0.4,-3.57,-10.19,-4.49,-7.66,-6.79
42,-0.3190663323880338,,August-2017,5.96,-9.41,-0.42,-1.61,2.11,-5.2,-2.8,-2.41,3.02,7.29,0.07
43,-0.8273717782988615,,September-2017,-5.43,5.43,-10.79,3.19,3.53,-1.71,0.86,9.16,-1.46,-8.69,-3.51
44,-7.56915392595766,,October-2017,-10.97,-1.95,-10.94,-9.2,-1.0,0.02,-7.92,-28.05,2.17,-11.98,-3.06
45,1.2102221177966834,,November-2017,13.3,5.51,-0.81,-4.11,3.2,-5.94,-0.22,0.16,0.89,5.52,-4.69
46,-3.498552749552402,,December-2017,1.44,-3.95,-6.08,-0.52,2.72,-2.55,2.05,-6.55,-5.04,-7.81,-13.12
47,2.549694368536556,,January-2018,7.06,2.5,3.8,-1.65,3.42,4.85,3.92,16.95,-10.67,-4.47,2.23
48,3.1720330673634494,,February-2018,1.1,2.47,4.44,8.27,-2.56,-4.01,4.11,2.8,4.6,7.3,6.74
49,3.1364195909157715,,March-2018,3.14,1.53,28.1,-0.6,2.32,-5.64,-3.95,6.66,-3.11,5.68,0.11
50,-4.2118179815265755,,April-2018,6.75,-5.31,1.1,-13.06,-7.12,-14.68,-1.38,-2.67,-8.45,-1.52,0.46
51,2.2820517631673884,,May-2018,4.99,4.99,-7.77,-3.8,-0.63,-2.67,2.96,8.73,13.39,1.75,3.26
52,1.7902334560469109,,June-2018,-1.17,2.12,2.88,-1.86,10.67,-1.56,4.49,-1.93,-1.79,10.8,-3.35
53,-2.575671585564641,,July-2018,5.08,5.13,-10.16,-7.51,2.38,-7.43,2.7,-2.55,-4.09,-4.61,-7.77
54,-4.945565371222142,,August-2018,-0.47,1.24,0.71,-13.98,-10.1,-9.86,-10.12,1.88,-8.46,-8.73,4.3
55,7.257065583789282,,September-2018,8.82,9.87,-1.75,10.73,6.06,16.16,2.49,11.76,-3.98,1.5,19.2
56,5.059912459248571,,October-2018,-2.58,5.69,1.22,9.87,1.46,-4.29,4.08,13.63,3.43,13.6,10.09
57,-0.4500556655760648,,November-2018,4.59,-10.6,8.1,-6.54,3.02,-5.9,12.42,-7.33,3.46,8.46,-15.97
58,-2.965916383160307,,December-2018,-1.23,-1.55,-4.89,-4.97,-10.49,-3.62,-6.22,0.21,5.11,-7.13,2.64
59,2.680821734708193,,January-2019,-12.82,15.89,7.98,-2.84,5.2,-3.26,5.89,1.84,-4.43,5.66,11.18
60,-0.8933079241071429,,February-2019,-0.19,-0.88,-3.08,1.07,3.23,7.35,-1.18,-3.52,-4.78,-5.01,-3.08
61,-0.9183093263154026,,March-2019,-4.24,-4.31,-2.02,1.37,-2.49,4.91,-7.63,2.89,4.25,-0.87,-2.06
