,meanHQ,meanER,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.ER,MARUTI SUZUKI INDIA LTD.ER,PIDILITE INDUSTRIES LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER,INDIAN OIL CORPORATION LTD.ER,ASIAN PAINTS LTD.ER,BAJAJ FINANCE LIMITEDER,LARSEN & TOUBRO LTD.ER,KOTAK MAHINDRA BANK LTD.ER,HDFC BANK LTDER,RELIANCE INDUSTRIES LTD.ER,ITC LTD.ER,HINDUSTAN ZINC LTD.ER,DABUR INDIA LTD.ER,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER
37,-3.2093333333333334,-3.253198830866521,March-2017,-12.61,-1.29,3.03,-0.25,4.32,-1.71,-2.48,-7.27,-5.77,-3.12,-0.47,-4.56,-6.03,-7.3,-8.88,-3.82,-6.54,-6.98,6.23,-0.47,-1.75,-3.92
38,1.7691666666666666,-2.8929436496376257,April-2017,3.8,6.57,-3.83,-0.51,-0.68,-8.32,-2.7,-2.52,-6.25,-11.76,-13.73,-4.52,-8.67,-10.8,-3.38,-6.92,-5.73,0.66,6.92,-3.39,0.93,6.96
39,1.1561666666666668,-0.9360014849627584,May-2017,-3.69,21.97,-0.9,-17.16,4.97,-10.56,-7.06,-2.39,0.99,8.26,1.82,-2.95,-3.85,-0.67,-6.98,-5.91,3.89,-11.95,10.69,2.43,2.65,-6.52
40,-2.6620000000000004,0.06980897730948708,June-2017,-6.93,-10.59,-0.37,11.09,11.16,-0.04,-4.48,-0.03,5.57,1.8,10.87,4.2,-3.72,4.09,0.94,-1.16,-2.96,-3.83,-9.48,-4.49,1.0,1.7
41,-2.5016666666666665,-4.200875117155292,July-2017,-9.35,4.11,-0.53,-4.08,-7.66,-6.79,1.03,-10.93,-2.44,-21.47,4.56,-5.01,-23.86,29.37,-6.73,-7.93,-16.92,11.95,-7.25,-6.14,-3.57,-4.49
42,4.015166666666667,-0.4910041380090453,August-2017,0.98,9.66,3.51,1.42,7.29,0.07,-5.21,-0.9,1.51,-10.08,-23.57,-0.75,-4.79,4.71,4.3,0.47,1.26,1.03,-4.68,-1.61,-2.8,3.02
43,0.8861666666666667,3.389239010900518,September-2017,4.14,-4.76,-1.63,6.95,-8.69,-3.51,5.16,-1.36,3.64,6.49,11.87,4.37,-2.88,-0.46,-2.66,-1.58,50.92,8.49,-0.24,3.19,0.86,-1.46
44,-9.095666666666665,-5.613472234157011,October-2017,-14.38,-9.98,-2.8,-8.3,-11.98,-3.06,1.37,3.1,-14.24,2.38,-3.56,-5.7,1.92,-6.96,-2.26,-0.32,-20.28,-3.04,-6.64,-9.2,-7.92,2.17
45,1.5751666666666664,0.7335077810234593,November-2017,7.31,2.43,-2.48,-2.62,5.52,-4.69,-7.85,-2.12,4.32,-3.97,5.02,2.79,3.91,0.31,2.38,-2.39,1.93,3.93,5.01,-4.11,-0.22,0.89
46,-3.567999999999999,-2.766901569791777,December-2017,-1.45,-5.71,-4.93,-2.01,-7.81,-13.12,-7.03,0.68,-2.61,-0.28,1.3,-0.88,-1.59,-3.3,-0.89,-1.16,0.17,-2.91,-3.12,-0.52,2.05,-5.04
47,-5.9235,-3.417925331963214,January-2018,-5.88,-1.5,-5.51,-12.4,-4.47,2.23,0.73,-6.3,-1.37,8.16,-7.56,2.32,4.51,-12.7,-9.97,-7.09,-4.35,-3.1,-0.34,-1.65,3.92,-10.67
48,8.282,4.47595690002456,February-2018,4.71,7.59,10.75,11.18,7.3,6.74,-0.21,4.24,5.16,-5.11,9.22,1.08,2.11,6.88,1.89,6.11,0.91,2.27,-5.13,8.27,4.11,4.6
49,8.902000000000001,4.530094540788727,March-2018,13.13,7.46,3.81,11.2,5.68,0.11,-2.3,-6.89,4.96,-2.41,53.51,-0.17,-7.77,0.55,3.69,-0.41,7.31,3.47,7.67,-0.6,-3.95,-3.11
50,-6.761166666666666,-6.492843937638621,April-2018,-14.61,-6.61,-1.7,-2.17,-1.52,0.46,-18.3,-5.71,-4.11,-5.87,7.94,-7.09,-7.7,-6.76,-15.43,-2.81,-9.1,-9.98,-8.69,-13.06,-1.38,-8.45
51,2.1209999999999996,-0.4795583637635678,May-2018,3.51,9.09,-4.87,-0.4,1.75,3.26,-6.34,-2.62,9.13,-10.32,-7.24,-8.79,-10.6,2.36,-10.46,-9.85,4.34,3.5,9.46,-3.8,2.96,13.39
52,-0.7818333333333332,1.3930863100435575,June-2018,5.15,-16.74,6.06,3.54,10.8,-3.35,8.0,0.45,-1.8,3.8,10.4,3.18,-8.96,7.04,-0.36,1.32,-5.61,2.04,6.89,-1.86,4.49,-1.79
53,-6.440833333333333,-7.371469895285707,July-2018,-7.55,-1.09,-7.78,-10.33,-4.61,-7.77,-5.61,-2.84,-10.2,-20.06,-5.45,-14.57,-17.48,-2.46,2.42,-3.46,-21.88,-11.71,-1.61,-7.51,2.7,-4.09
54,-9.888,-4.474445014504948,August-2018,4.19,-15.1,-18.01,-12.73,-8.73,4.3,-3.83,4.54,-6.69,3.31,5.35,5.33,-5.95,-5.11,1.83,5.45,-4.65,-7.39,-6.76,-13.98,-10.12,-8.46
55,8.854000000000001,7.756763201333835,September-2018,14.32,4.42,5.68,10.99,1.5,19.2,10.48,11.39,9.27,11.34,1.57,5.62,24.19,7.48,11.04,2.74,-1.39,7.03,2.92,10.73,2.49,-3.98
56,0.6546666666666667,5.571326007823519,October-2018,2.85,7.09,4.97,-16.43,13.6,10.09,8.49,15.57,13.73,9.79,9.89,5.16,-9.56,-2.5,2.23,4.68,15.64,5.7,9.02,9.87,4.08,3.43
57,-2.0355,-5.499188477588472,November-2018,-14.67,15.0,-7.54,0.03,8.46,-15.97,-21.74,-14.54,-14.12,-11.19,3.22,-9.59,-6.47,-10.11,-10.23,-10.74,-10.06,-2.31,-0.79,-6.54,12.42,3.46
58,1.633833333333333,-0.6511170543596955,December-2018,-5.86,12.52,0.95,-1.41,-7.13,2.64,4.73,1.99,-0.25,-7.89,-2.62,-2.14,-4.46,-0.62,-1.82,-0.25,4.04,1.61,-4.32,-4.97,-6.22,5.11
59,-0.6103333333333335,1.8341286823913305,January-2019,12.26,1.17,-16.64,-1.18,5.66,11.18,-0.8,5.88,12.04,5.99,-0.04,-2.84,2.68,8.7,0.12,1.95,-9.46,1.03,6.21,-2.84,5.89,-4.43
60,1.2878333333333332,-1.209864601088494,February-2019,4.27,-4.65,1.88,4.24,-5.01,-3.08,-3.21,2.13,-8.72,-6.13,-5.58,0.54,-3.0,1.44,3.26,-0.05,-0.36,0.93,-3.28,1.07,-1.18,-4.78
61,-4.122833333333333,-2.3561110043862317,March-2019,-5.33,-2.17,-3.24,-6.12,-0.87,-2.06,2.33,-3.08,-3.66,-2.45,-2.66,1.53,-4.5,-3.39,-2.1,-2.18,-2.85,-5.76,0.78,1.37,-7.63,4.25
