,meanHQ,meanER,Month,SHREE CEMENT LTD.HQ,HINDUSTAN ZINC LTD.HQ,BOSCH LTD.ER,HERO MOTOCORP LTD.ER,BHARTI AIRTEL LTD.ER,VEDANTA LIMITEDER,BAJAJ AUTO LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER,BAJAJ FINANCE LIMITEDER,STATE BANK OF INDIAER,ICICI BANK LTD.ER,TITAN COMPANY LIMITEDER,SUN PHARMACEUTICAL INDUSTRIES LTD.ER
25,-20.346666666666668,-15.872406996430371,March-2016,-23.25,-14.54,-23.89,-17.75,-10.78,-26.89,-9.35,-16.46,-16.62,-5.79,-16.9,-22.66,-24.5,-7.1,4.16
26,0.37666666666666665,-1.716907011604463,April-2016,-2.61,6.35,5.21,1.43,-3.68,-15.41,-3.26,-8.43,2.0,-9.51,1.4,2.75,-0.02,-4.9,0.99
27,-2.18,-3.470869391559844,May-2016,-3.56,0.58,-13.44,-6.82,3.34,-4.39,-5.41,-5.18,-2.12,2.25,-10.88,-8.41,-3.63,-1.07,5.99
28,-8.54,-7.06783748001807,June-2016,-10.19,-5.24,-1.28,-2.64,-4.12,-21.7,-2.57,-0.64,-5.65,-27.15,-5.46,-6.74,2.04,-12.67,-0.12
29,-11.623333333333333,-9.960763428916358,July-2016,-10.76,-13.35,-10.38,-0.8,1.12,-24.89,-0.59,-6.06,-8.61,-17.28,-29.64,-4.76,-9.43,-3.55,-8.66
30,-7.853333333333334,-4.062102332110818,August-2016,-6.15,-11.26,3.15,-10.64,8.34,-3.31,-10.32,-0.59,-8.73,-9.07,-6.4,-10.26,1.96,0.21,6.62
31,-0.6166666666666667,7.416787881657177,September-2016,0.51,-2.87,6.07,3.75,5.36,-1.18,4.99,-0.96,4.25,-3.62,90.41,0.73,2.1,5.38,4.15
32,-2.3633333333333333,-3.1092002550893554,October-2016,0.59,-8.27,3.7,1.75,-1.42,-17.67,-0.05,0.14,-2.94,-10.87,-2.27,-2.85,-9.79,3.49,-0.75
33,1.3800000000000001,4.356734609923846,November-2016,7.95,-11.76,6.28,5.53,-1.88,-13.48,5.28,8.81,9.5,12.42,14.92,-0.21,4.33,15.66,5.07
34,6.78,4.591924634058076,December-2016,5.42,9.5,-2.35,3.92,5.9,5.85,1.86,-1.66,9.69,3.04,8.72,3.35,3.66,-1.15,11.34
35,-9.03,-10.228798174683474,January-2017,-5.13,-16.83,-5.44,-4.42,-13.93,-17.04,-7.74,-13.1,-13.8,-11.96,-23.47,-4.1,-5.39,-11.37,-0.29
36,-3.6999999999999997,-5.10158373344441,February-2017,-3.94,-3.22,2.5,1.39,-4.96,-2.35,2.8,-4.9,-2.13,-22.33,-6.86,-3.54,-2.73,-20.36,-7.51
37,-1.7766666666666666,-3.2192706185280717,March-2017,-5.78,6.23,-5.52,-2.83,4.16,-6.02,-1.79,-7.27,-5.77,-3.12,-6.03,-8.69,-0.25,-5.65,-1.29
38,-6.4799999999999995,-2.064514487794275,April-2017,-13.18,6.92,-0.66,-2.69,-1.33,11.32,-2.17,-2.52,-6.25,-11.76,-8.67,1.08,-0.51,-2.16,6.57
39,7.93,0.9043616653386441,May-2017,6.55,10.69,-1.63,-13.05,-4.85,1.89,0.85,-2.39,0.99,8.26,-3.85,0.31,-17.16,-0.73,21.97
40,0.7533333333333333,-0.39114075338753507,June-2017,5.87,-9.48,0.0,1.23,-1.98,-4.21,1.88,-0.03,5.57,1.8,-3.72,5.18,11.09,-10.3,-10.59
41,-9.083333333333334,-8.052883139480766,July-2017,-10.0,-7.25,-3.14,1.15,-10.19,-12.29,-0.61,-10.93,-2.44,-21.47,-23.86,-14.24,-4.08,-3.74,4.11
42,2.1733333333333333,-1.0416950092824968,August-2017,5.6,-4.68,8.33,-9.41,-2.41,-10.19,-0.03,-0.9,1.51,-10.08,-4.79,11.26,1.42,-13.51,9.66
43,-3.7733333333333334,1.3638683012249486,September-2017,-5.54,-0.24,6.88,5.43,9.16,-1.88,-10.67,-1.36,3.64,6.49,-2.88,8.51,6.95,5.5,-4.76
44,-3.6666666666666665,-6.864495859959141,October-2017,-2.18,-6.64,-2.45,-1.95,-28.05,-5.72,-4.89,3.1,-14.24,2.38,1.92,-20.51,-8.3,-8.86,-9.98
45,7.830000000000001,0.5228809771185001,November-2017,9.24,5.01,3.29,5.51,0.16,10.88,-1.59,-2.12,4.32,-3.97,3.91,-4.79,-2.62,-29.13,2.43
46,-4.2,-2.8571462414370816,December-2017,-4.74,-3.12,1.1,-3.95,-6.55,-11.48,-0.35,0.68,-2.61,-0.28,-1.59,3.42,-2.01,-4.51,-5.71
47,2.94,0.9800192357935389,January-2018,4.58,-0.34,3.78,2.5,16.95,-2.96,-0.47,-6.3,-1.37,8.16,4.51,-1.05,-12.4,-1.52,-1.5
48,0.3633333333333333,4.04058711427191,February-2018,3.11,-5.13,3.38,2.47,2.8,2.96,9.58,4.24,5.16,-5.11,2.11,14.07,11.18,6.11,7.59
49,4.543333333333333,3.0469460171273908,March-2018,2.98,7.67,2.96,1.53,6.66,15.53,8.94,-6.89,4.96,-2.41,-7.77,6.94,11.2,-15.35,7.46
50,-5.63,-5.167150856142357,April-2018,-4.1,-8.69,-6.98,-5.31,-2.67,-7.26,-7.24,-5.71,-4.11,-5.87,-7.7,1.52,-2.17,-4.23,-6.61
51,3.186666666666667,3.0021414219101428,May-2018,0.05,9.46,5.8,4.99,8.73,16.48,6.64,-2.62,9.13,-10.32,-10.6,-9.3,-0.4,8.12,9.09
52,7.363333333333333,1.0771991336926212,June-2018,7.6,6.89,4.31,2.12,-1.93,5.44,-2.14,0.45,-1.8,3.8,-8.96,3.68,3.54,2.5,-16.74
53,-6.996666666666666,-5.75167577943602,July-2018,-9.69,-1.61,-6.92,5.13,-2.55,5.73,3.93,-2.84,-10.2,-20.06,-17.48,-13.15,-10.33,-3.6,-1.09
54,-9.659999999999998,-5.067390437935427,August-2018,-11.11,-6.76,-17.63,1.24,1.88,-2.23,-1.69,4.54,-6.69,3.31,-5.95,-5.27,-12.73,2.17,-15.1
55,8.44,9.370583966192356,September-2018,11.2,2.92,9.9,9.87,11.76,-2.0,2.16,11.39,9.27,11.34,24.19,14.2,10.99,9.57,4.42
56,14.646666666666667,5.134528599586881,October-2018,17.46,9.02,-0.18,5.69,13.63,8.85,3.56,15.57,13.73,9.79,-9.56,-5.85,-16.43,-4.79,7.09
57,-12.643333333333333,-5.440663784287028,November-2018,-18.57,-0.79,4.78,-10.6,-7.33,7.31,-5.61,-14.54,-14.12,-11.19,-6.47,-1.37,0.03,-9.67,15.0
58,-4.42,-1.6157722441182265,December-2018,-4.47,-4.32,-3.8,-1.55,0.21,-3.35,0.67,1.99,-0.25,-7.89,-4.46,-3.97,-1.41,-0.46,12.52
59,7.736666666666667,4.581975971860107,January-2019,8.5,6.21,4.07,15.89,1.84,2.4,6.08,5.88,12.04,5.99,2.68,0.78,-1.18,-7.04,1.17
60,-4.733333333333333,-1.819500156618743,February-2019,-5.46,-3.28,-0.95,-0.88,-3.52,14.23,-13.44,2.13,-8.72,-6.13,-3.0,8.04,4.24,-3.17,-4.65
61,-4.033333333333334,-2.55162291306601,March-2019,-6.44,0.78,2.94,-4.31,2.89,-1.74,-2.05,-3.08,-3.66,-2.45,-4.5,-4.26,-6.12,-2.6,-2.17
