,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER_x,GODREJ CONSUMER PRODUCTS LTD.ER_x,MAHINDRA & MAHINDRA LTD.ER_x,INDUSIND BANK LTD.ER_x,ULTRATECH CEMENT LTD.ER_x,TATA CONSULTANCY SERVICES LTD.ER_x,RELIANCE INDUSTRIES LTD.ER_x,COAL INDIA LTD.ER_x,POWER GRID CORPORATION OF INDIA LTD.ER_y,GODREJ CONSUMER PRODUCTS LTD.ER_y,MAHINDRA & MAHINDRA LTD.ER_y,INDUSIND BANK LTD.ER_y,ULTRATECH CEMENT LTD.ER_y,TATA CONSULTANCY SERVICES LTD.ER_y,RELIANCE INDUSTRIES LTD.ER_y,COAL INDIA LTD.ER_y,HINDUSTAN UNILEVER LTD.ER,OIL AND NATURAL GAS CORPORATION LTD.ER,DABUR INDIA LTD.ER_x,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER,HERO MOTOCORP LTD.ER,DABUR INDIA LTD.ER_y,BAJAJ AUTO LTD.ER,HINDUSTAN ZINC LTD.ER
20,-0.4199999999999998,-2.144895505863687,October-2015,-5.46,3.99,2.1,-17.51,-2.65,-9.6,-4.68,2.57,-3.95,6.2,3.3,-7.61,3.49,-10.15,2.02,2.57,-3.95,6.2,3.3,-7.61,3.49,-10.15,2.02,1.41,-8.0,2.21,-7.23,11.46,-7.9,2.21,-10.38,-12.39
21,4.71,0.016121418080880974,November-2015,8.71,0.1,4.19,9.95,0.81,-9.55,9.39,-5.59,2.69,-15.62,-2.45,2.66,5.29,-2.13,-3.38,-5.59,2.69,-15.62,-2.45,2.66,5.29,-2.13,-3.38,-0.95,5.47,-1.28,1.28,-0.26,-4.55,-1.28,2.67,8.44
22,0.3966666666666667,-1.7907915424901102,December-2015,0.04,2.25,-1.48,-0.28,-14.18,9.24,-1.36,-3.86,-7.23,7.0,-3.78,0.78,-3.13,-4.61,0.6,-3.86,-7.23,7.0,-3.78,0.78,-3.13,-4.61,0.6,-6.54,-3.24,-1.08,-11.37,1.88,0.27,-1.08,-2.09,-2.02
23,1.2891666666666668,2.490310956120979,January-2016,6.57,-0.25,-5.46,20.6,-2.51,-4.96,9.48,-4.53,7.17,3.06,4.32,-1.47,1.97,-2.22,2.63,-4.53,7.17,3.06,4.32,-1.47,1.97,-2.22,2.63,5.27,6.53,9.6,2.54,-1.23,4.91,9.6,7.56,-9.58
24,5.780833333333334,5.272168034599042,February-2016,3.81,7.36,6.96,1.19,-6.3,13.07,-2.82,11.86,2.88,0.48,10.36,2.09,8.75,6.62,2.77,11.86,2.88,0.48,10.36,2.09,8.75,6.62,2.77,-1.58,14.15,4.9,15.82,6.19,2.46,4.9,6.04,0.28
25,-15.835833333333335,-9.79734989349246,March-2016,-23.89,-8.36,-12.38,-26.89,-13.81,-7.1,3.01,-6.92,-16.01,1.4,-16.46,-16.62,-15.31,-8.14,6.17,-6.92,-16.01,1.4,-16.46,-16.62,-15.31,-8.14,6.17,-4.78,-10.64,-4.77,-7.6,-0.22,-17.75,-4.77,-9.35,-14.54
26,2.8858333333333337,-1.7787594552134136,April-2016,5.21,1.71,0.58,-15.41,-7.14,-4.9,-6.79,-3.13,4.11,-10.09,-8.43,2.0,-0.56,6.0,1.68,-3.13,4.11,-10.09,-8.43,2.0,-0.56,6.0,1.68,0.33,-1.47,-10.6,-7.76,7.82,1.43,-10.6,-3.26,6.35
27,-5.954999999999999,-2.7646625094099515,May-2016,-13.44,1.35,-3.22,-4.39,-1.4,-1.07,5.29,-4.57,-12.4,0.53,-5.18,-2.12,-1.78,2.4,-1.58,-4.57,-12.4,0.53,-5.18,-2.12,-1.78,2.4,-1.58,1.93,3.1,-5.24,-3.21,1.41,-6.82,-5.24,-5.41,0.58
28,0.3091666666666666,-4.657427138813429,June-2016,-1.28,-2.22,6.33,-21.7,-5.3,-12.67,-1.88,-8.63,-7.79,-7.87,-0.64,-5.65,0.94,-1.09,-7.37,-8.63,-7.79,-7.87,-0.64,-5.65,0.94,-1.09,-7.37,-5.73,-2.44,-6.28,-9.18,1.26,-2.64,-6.28,-2.57,-5.24
29,-1.477500000000001,-4.357530018993062,July-2016,-10.38,2.34,8.27,-24.89,-14.25,-3.55,-6.28,-7.95,0.69,-2.66,-6.06,-8.61,-2.66,-4.75,-4.74,-7.95,0.69,-2.66,-6.06,-8.61,-2.66,-4.75,-4.74,-2.55,-1.69,1.46,-1.31,-3.0,-0.8,1.46,-0.59,-13.35
30,5.5275,-1.7286488080095124,August-2016,3.15,10.05,3.46,-3.31,-4.88,0.21,-17.88,-4.6,4.45,1.97,-0.59,-8.73,4.05,-4.19,-1.72,-4.6,4.45,1.97,-0.59,-8.73,4.05,-4.19,-1.72,0.53,-7.77,4.28,-0.5,-3.55,-10.64,4.28,-10.32,-11.26
31,3.3700000000000006,1.8296789464650818,September-2016,6.07,2.62,-0.13,-1.18,1.35,5.38,2.52,4.16,-4.19,2.23,-0.96,4.25,3.4,-2.28,3.33,4.16,-4.19,2.23,-0.96,4.25,3.4,-2.28,3.33,5.33,-8.29,6.67,6.75,-2.64,3.75,6.67,4.99,-2.87
32,3.2825,-0.37752085341328145,October-2016,3.7,2.65,3.43,-17.67,4.16,3.49,1.61,0.79,-1.23,6.25,0.14,-2.94,1.34,2.86,-1.07,0.79,-1.23,6.25,0.14,-2.94,1.34,2.86,-1.07,3.17,-12.95,-7.7,-1.85,3.97,1.75,-7.7,-0.05,-8.27
