,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,HINDUSTAN UNILEVER LTD.ER,HERO MOTOCORP LTD.ER_x,DABUR INDIA LTD.ER_x,BAJAJ AUTO LTD.ER_x,HINDUSTAN ZINC LTD.ER_x,BAJAJ FINSERV LTD.ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER,HCL TECHNOLOGIES LTD.ER_x,HERO MOTOCORP LTD.ER_y,DABUR INDIA LTD.ER_y,BAJAJ AUTO LTD.ER_y,HINDUSTAN ZINC LTD.ER_y,DABUR INDIA LTD.ER,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER_y,INFOSYS LTD.ER
13,3.2383333333333333,7.92240305910907,March-2015,1.91,4.77,3.41,12.94,10.21,6.78,-3.09,4.06,1.49,-0.57,6.68,8.12,1.25,1.86,51.51,1.49,-0.57,6.68,8.12,-0.57,5.39,51.51,3.41
14,12.5575,4.807605012830095,April-2015,11.34,14.22,12.37,-10.85,-2.72,2.35,-1.61,2.68,11.85,5.09,3.37,-4.6,-2.77,10.82,10.22,11.85,5.09,3.37,-4.6,5.09,-2.0,10.22,12.37
15,-4.585833333333333,-6.4516179152714255,May-2015,-5.11,-4.28,-4.12,6.33,1.76,1.38,-16.22,-1.21,-15.74,-7.5,-18.75,0.12,-6.66,-5.65,-15.04,-15.74,-7.5,-18.75,0.12,-7.5,9.05,-15.04,-4.12
16,16.923333333333332,5.4167838661312935,June-2015,7.36,3.11,51.28,11.59,4.79,3.01,-8.41,-6.59,6.37,-3.53,-9.53,1.24,-0.2,-4.93,8.97,6.37,-3.53,-9.53,1.24,-3.53,-0.8,8.97,51.28
17,-9.07,-2.9053849002825287,July-2015,-12.45,-4.59,-9.41,25.16,3.95,11.55,-14.22,-0.5,-5.95,-4.62,0.65,5.99,-20.95,-3.29,-8.2,-5.95,-4.62,0.65,5.99,-4.62,2.1,-8.2,-9.41
18,1.8108333333333335,6.491047030969384,August-2015,5.62,-0.4,-1.59,24.24,-9.93,-4.29,7.2,6.47,10.36,6.7,10.49,19.14,1.54,11.22,2.51,10.36,6.7,10.49,19.14,6.7,10.04,2.51,-1.59
19,3.918333333333333,-0.05596461024571933,September-2015,16.58,-4.5,-5.96,13.69,3.54,5.8,-5.26,5.59,0.07,-0.95,-2.43,-10.0,4.75,-2.05,-1.09,0.07,-0.95,-2.43,-10.0,-0.95,-1.98,-1.09,-5.96
20,-0.4199999999999998,-3.6098122054909605,October-2015,-5.46,3.99,2.1,-17.51,-2.65,-9.6,-4.68,1.41,-7.9,2.21,-10.38,-12.39,-13.01,-3.62,11.46,-7.9,2.21,-10.38,-12.39,2.21,-7.23,11.46,2.1
21,4.71,1.9024374670349462,November-2015,8.71,0.1,4.19,9.95,0.81,-9.55,9.39,-0.95,-4.55,-1.28,2.67,8.44,0.98,3.18,-0.26,-4.55,-1.28,2.67,8.44,-1.28,1.28,-0.26,4.19
22,0.3966666666666667,-1.5930650860036848,December-2015,0.04,2.25,-1.48,-0.28,-14.18,9.24,-1.36,-6.54,0.27,-1.08,-2.09,-2.02,-2.57,-3.73,1.88,0.27,-1.08,-2.09,-2.02,-1.08,-11.37,1.88,-1.48
23,1.2891666666666668,3.01127244383855,January-2016,6.57,-0.25,-5.46,20.6,-2.51,-4.96,9.48,5.27,4.91,9.6,7.56,-9.58,5.94,6.74,-1.23,4.91,9.6,7.56,-9.58,9.6,2.54,-1.23,-5.46
24,5.780833333333334,4.936799688975292,February-2016,3.81,7.36,6.96,1.19,-6.3,13.07,-2.82,-1.58,2.46,4.9,6.04,0.28,13.83,9.85,6.19,2.46,4.9,6.04,0.28,4.9,15.82,6.19,6.96
25,-15.835833333333335,-9.912110331228083,March-2016,-23.89,-8.36,-12.38,-26.89,-13.81,-7.1,3.01,-4.78,-17.75,-4.77,-9.35,-14.54,-5.79,-4.14,-0.22,-17.75,-4.77,-9.35,-14.54,-4.77,-7.6,-0.22,-12.38
26,2.8858333333333337,-1.9139778230725388,April-2016,5.21,1.71,0.58,-15.41,-7.14,-4.9,-6.79,0.33,1.43,-10.6,-3.26,6.35,-9.51,1.52,7.82,1.43,-10.6,-3.26,6.35,-10.6,-7.76,7.82,0.58
27,-5.954999999999999,-3.1283088440380458,May-2016,-13.44,1.35,-3.22,-4.39,-1.4,-1.07,5.29,1.93,-6.82,-5.24,-5.41,0.58,2.25,-13.79,1.41,-6.82,-5.24,-5.41,0.58,-5.24,-3.21,1.41,-3.22
28,0.3091666666666666,-4.7059172305551185,June-2016,-1.28,-2.22,6.33,-21.7,-5.3,-12.67,-1.88,-5.73,-2.64,-6.28,-2.57,-5.24,-27.15,-1.11,1.26,-2.64,-6.28,-2.57,-5.24,-6.28,-9.18,1.26,6.33
29,-1.477500000000001,-4.351129724167928,July-2016,-10.38,2.34,8.27,-24.89,-14.25,-3.55,-6.28,-2.55,-0.8,1.46,-0.59,-13.35,-17.28,-9.71,-3.0,-0.8,1.46,-0.59,-13.35,1.46,-1.31,-3.0,8.27
30,5.5275,-2.93869739885657,August-2016,3.15,10.05,3.46,-3.31,-4.88,0.21,-17.88,0.53,-10.64,4.28,-10.32,-11.26,-9.07,-2.31,-3.55,-10.64,4.28,-10.32,-11.26,4.28,-0.5,-3.55,3.46
31,3.3700000000000006,2.326717050341658,September-2016,6.07,2.62,-0.13,-1.18,1.35,5.38,2.52,5.33,3.75,6.67,4.99,-2.87,-3.62,0.93,-2.64,3.75,6.67,4.99,-2.87,6.67,6.75,-2.64,-0.13
32,3.2825,-1.2121098059046498,October-2016,3.7,2.65,3.43,-17.67,4.16,3.49,1.61,3.17,1.75,-7.7,-0.05,-8.27,-10.87,0.88,3.97,1.75,-7.7,-0.05,-8.27,-7.7,-1.85,3.97,3.43
33,3.285,1.3316373277927767,November-2016,6.28,-0.02,2.7,-13.48,-4.03,15.66,8.3,-0.48,5.53,3.03,5.28,-11.76,12.42,8.41,-4.53,5.53,3.03,5.28,-11.76,3.03,-7.87,-4.53,2.7
34,-2.5183333333333335,1.5602546583059889,December-2016,-2.35,-1.91,-3.61,5.85,5.9,-1.15,5.12,2.13,3.92,2.22,1.86,9.5,3.04,0.18,-3.06,3.92,2.22,1.86,9.5,2.22,-0.95,-3.06,-3.61
35,0.9358333333333335,-0.6467550586606294,January-2017,-5.44,3.57,8.05,-17.04,87.79,-11.37,-8.5,-3.49,-4.42,0.29,-7.74,-16.83,-11.96,-8.23,2.24,-4.42,0.29,-7.74,-16.83,0.29,-4.89,2.24,8.05
36,-3.4808333333333334,-2.8727869183167583,February-2017,2.5,-6.87,-8.93,-2.35,5.9,-20.36,-3.26,-1.14,1.39,0.14,2.8,-3.22,-22.33,-0.18,-3.86,1.39,0.14,2.8,-3.22,0.14,5.59,-3.86,-8.93
37,-4.343333333333333,-2.4945785142556973,March-2017,-5.52,-5.5,-0.84,-6.02,-0.48,-5.65,-4.76,-5.19,-2.83,-0.47,-1.79,6.23,-3.12,-9.76,-3.92,-2.83,-0.47,-1.79,6.23,-0.47,-1.75,-3.92,-0.84
38,3.5808333333333335,0.597485505058467,April-2017,-0.66,4.12,9.93,11.32,-6.08,-2.16,-7.23,-2.74,-2.69,-3.39,-2.17,6.92,-11.76,-2.31,6.96,-2.69,-3.39,-2.17,6.92,-3.39,0.93,6.96,9.93
39,-5.147500000000001,-1.4870606327836717,May-2017,-1.63,-8.71,-6.26,1.89,2.49,-0.73,2.6,-14.13,-13.05,2.43,0.85,10.69,8.26,-2.15,-6.52,-13.05,2.43,0.85,10.69,2.43,2.65,-6.52,-6.26
40,18.33416666666667,1.2641503382965351,June-2017,0.0,51.83,4.23,-4.21,-4.74,-10.3,-4.57,-1.39,1.23,-4.49,1.88,-9.48,1.8,-2.94,1.7,1.23,-4.49,1.88,-9.48,-4.49,1.0,1.7,4.23
41,-7.2275,-6.344927270372558,July-2017,-3.14,-11.69,-8.09,-12.29,-8.93,-3.74,-6.15,-6.63,1.15,-6.14,-0.61,-7.25,-21.47,-10.51,-4.49,1.15,-6.14,-0.61,-7.25,-6.14,-3.57,-4.49,-8.09
42,4.683333333333334,-2.626364015440754,August-2017,8.33,-3.48,9.49,-10.19,-15.06,-13.51,-7.41,-5.55,-9.41,-1.61,-0.03,-4.68,-10.08,0.6,3.02,-9.41,-1.61,-0.03,-4.68,-1.61,-2.8,3.02,9.49
43,5.3358333333333325,1.389729545331009,September-2017,6.88,6.05,1.81,-1.88,2.51,5.5,-3.12,3.47,5.43,3.19,-10.67,-0.24,6.49,1.96,-1.46,5.43,3.19,-10.67,-0.24,3.19,0.86,-1.46,1.81
44,-3.205,-4.166820420883537,October-2017,-2.45,-4.64,-2.55,-5.72,-3.83,-8.86,-7.03,-5.25,-1.95,-9.2,-4.89,-6.64,2.38,1.92,2.17,-1.95,-9.2,-4.89,-6.64,-9.2,-7.92,2.17,-2.55
45,0.17583333333333329,-1.0458380183224918,November-2017,3.29,0.75,-5.78,10.88,1.3,-29.13,-2.87,-2.98,5.51,-4.11,-1.59,5.01,-3.97,1.73,0.89,5.51,-4.11,-1.59,5.01,-4.11,-0.22,0.89,-5.78
46,-3.658333333333333,-3.2347922688919897,December-2017,1.1,-7.4,-6.6,-11.48,-5.97,-4.51,1.4,-7.41,-3.95,-0.52,-0.35,-3.12,-0.28,-1.94,-5.04,-3.95,-0.52,-0.35,-3.12,-0.52,2.05,-5.04,-6.6
47,-0.17250000000000032,-2.12788320977424,January-2018,3.78,2.79,-10.71,-2.96,-7.58,-1.52,0.92,-0.11,2.5,-1.65,-0.47,-0.34,8.16,-14.34,-10.67,2.5,-1.65,-0.47,-0.34,-1.65,3.92,-10.67,-10.71
48,2.1925,2.429808596573797,February-2018,3.38,3.89,-2.05,2.96,-7.57,6.11,-6.68,3.89,2.47,8.27,9.58,-5.13,-5.11,7.21,4.6,2.47,8.27,9.58,-5.13,8.27,4.11,4.6,-2.05
49,3.3741666666666665,1.874185162898101,March-2018,2.96,3.88,3.39,15.53,7.71,-15.35,0.27,-1.49,1.53,-0.6,8.94,7.67,-2.41,-0.53,-3.11,1.53,-0.6,8.94,7.67,-0.6,-3.95,-3.11,3.39
50,-4.020833333333333,-7.449219342523387,April-2018,-6.98,0.96,-5.73,-7.26,-12.88,-4.23,-10.77,-12.96,-5.31,-13.06,-7.24,-8.69,-5.87,-3.3,-8.45,-5.31,-13.06,-7.24,-8.69,-13.06,-1.38,-8.45,-5.73
51,3.7524999999999995,2.97211600665906,May-2018,5.8,6.04,-2.71,16.48,-2.21,8.12,-7.7,-6.93,4.99,-3.8,6.64,9.46,-10.32,2.98,13.39,4.99,-3.8,6.64,9.46,-3.8,2.96,13.39,-2.71
52,0.3391666666666666,0.20603609821851415,June-2018,4.31,0.19,-6.08,5.44,1.73,2.5,-4.48,-1.75,2.12,-1.86,-2.14,6.89,3.8,-4.31,-1.79,2.12,-1.86,-2.14,6.89,-1.86,4.49,-1.79,-6.08
53,-5.961666666666667,-3.1297856287031203,July-2018,-6.92,-5.89,-4.46,5.73,-1.01,-3.6,-5.38,-5.47,5.13,-7.51,3.93,-1.61,-20.06,-4.58,-4.09,5.13,-7.51,3.93,-1.61,-7.51,2.7,-4.09,-4.46
54,-11.711666666666668,-6.3518111251890685,August-2018,-17.63,-8.98,-5.49,-2.23,-20.19,2.17,-3.11,-2.83,1.24,-13.98,-1.69,-6.76,3.31,3.17,-8.46,1.24,-13.98,-1.69,-6.76,-13.98,-10.12,-8.46,-5.49
55,13.994166666666668,9.4140731343186,September-2018,9.9,-7.48,49.45,-2.0,4.07,9.57,13.85,9.71,9.87,10.73,2.16,2.92,11.34,9.11,-3.98,9.87,10.73,2.16,2.92,10.73,2.49,-3.98,49.45
56,0.605,4.707294892824415,October-2018,-0.18,-2.25,5.72,8.85,11.02,-4.79,2.87,-0.63,5.69,9.87,3.56,9.02,9.79,-0.8,3.43,5.69,9.87,3.56,9.02,9.87,4.08,3.43,5.72
57,3.381666666666667,-0.06369327494749336,November-2018,4.78,2.01,2.88,7.31,7.06,-9.67,43.93,-8.39,-10.6,-6.54,-5.61,-0.79,-11.19,-12.1,3.46,-10.6,-6.54,-5.61,-0.79,-6.54,12.42,3.46,2.88
58,-1.8866666666666667,-1.5639767357840713,December-2018,-3.8,-1.66,1.0,-3.35,2.64,-0.46,1.29,-3.68,-1.55,-4.97,0.67,-4.32,-7.89,0.69,5.11,-1.55,-4.97,0.67,-4.32,-4.97,-6.22,5.11,1.0
59,-5.644166666666667,0.8123591805561438,January-2019,4.07,-11.82,-13.6,2.4,10.33,-7.04,-2.49,3.07,15.89,-2.84,6.08,6.21,5.99,2.35,-4.43,15.89,-2.84,6.08,6.21,-2.84,5.89,-4.43,-13.6
60,0.06333333333333335,-1.121002564759327,February-2019,-0.95,-0.19,2.09,14.23,-2.35,-3.17,4.26,1.75,-0.88,1.07,-13.44,-3.28,-6.13,4.26,-4.78,-0.88,1.07,-13.44,-3.28,1.07,-1.18,-4.78,2.09
61,12.181666666666667,1.4949133603496763,March-2019,2.94,30.68,2.92,-1.74,-2.06,-2.6,-0.13,1.75,-4.31,1.37,-2.05,0.78,-2.45,-2.29,4.25,-4.31,1.37,-2.05,0.78,1.37,-7.63,4.25,2.92
