Month,BHARTI INFRATEL LTD.18ER,BHARTI AIRTEL LTD.18ER,SUN PHARMACEUTICAL INDUSTRIES LTD.18ER,SBI LIFE INSURANCE COMPANY LTD18ER,HDFC BANK LTD18ER,BHARTI AIRTEL LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,INFOSYS LTD.17ER,SUN PHARMACEUTICAL INDUSTRIES LTD.17ER,INDUSIND BANK LTD.17ER,HDFC BANK LTD17ER,NESTLE INDIA LTD.16ER,BHARTI AIRTEL LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,WIPRO LTD.16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.16ER,BAJAJ FINSERV LTD.16ER,HDFC BANK LTD16ER,NESTLE INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,INFOSYS LTD.15ER,SUN PHARMACEUTICAL INDUSTRIES LTD.15ER,HDFC BANK LTD15ER,NESTLE INDIA LTD.14ER,BHARTI AIRTEL LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,INFOSYS LTD.14ER,MAHINDRA & MAHINDRA LTD.14ER,LARSEN & TOUBRO LTD.14ER,HDFC BANK LTD14ER,meanER
April-2017,,,,,,1.33,8.32,-9.93,-6.57,2.52,6.92,,,,,,,,,,,,,,,,,,,,,0.43
May-2017,,,,,,4.85,10.56,6.26,-21.97,2.39,5.91,,,,,,,,,,,,,,,,,,,,,1.33
June-2017,,,,,,1.98,0.04,-4.23,10.59,0.03,1.16,,,,,,,,,,,,,,,,,,,,,1.59
July-2017,,,,,,10.19,6.79,8.09,-4.11,10.93,7.93,,,,,,,,,,,,,,,,,,,,,6.64
August-2017,,,,,,2.41,-0.07,-9.49,-9.66,0.9,-0.47,,,,,,,,,,,,,,,,,,,,,-2.73
September-2017,,,,,,-9.16,3.51,-1.81,4.76,1.36,1.58,,,,,,,,,,,,,,,,,,,,,0.04
October-2017,,,,,,28.05,3.06,2.55,9.98,-3.1,0.32,,,,,,,,,,,,,,,,,,,,,6.81
November-2017,,,,,,-0.16,4.69,5.78,-2.43,2.12,2.39,,,,,,,,,,,,,,,,,,,,,2.06
December-2017,,,,,,6.55,13.12,6.6,5.71,-0.68,1.16,,,,,,,,,,,,,,,,,,,,,5.41
January-2016,,,,,,,,,,,,-5.73,-14.77,-11.22,0.25,6.47,-5.94,-3.12,,,,,,,,,,,,,,-4.87
February-2016,,,,,,,,,,,,-8.71,9.34,-20.86,-7.36,-2.06,-13.83,-7.28,,,,,,,,,,,,,,-7.25
March-2016,,,,,,,,,,,,15.09,10.78,14.69,8.36,-4.16,5.79,10.14,,,,,,,,,,,,,,8.67
April-2016,,,,,,,,,,,,-0.44,3.68,2.04,-1.71,-0.99,9.51,5.81,,,,,,,,,,,,,,2.56
May-2016,,,,,,,,,,,,6.18,-3.34,9.83,-1.35,-5.99,-2.25,4.23,,,,,,,,,,,,,,1.04
June-2016,,,,,,,,,,,,6.39,4.12,0.41,2.22,0.12,27.15,-0.46,,,,,,,,,,,,,,5.71
July-2016,,,,,,,,,,,,10.43,-1.12,13.62,-2.34,8.66,17.28,6.01,,,,,,,,,,,,,,7.51
August-2016,,,,,,,,,,,,-8.46,-8.34,6.26,-10.05,-6.62,9.07,3.55,,,,,,,,,,,,,,-2.08
September-2016,,,,,,,,,,,,-2.0,-5.36,8.44,-2.62,-4.15,3.62,-1.48,,,,,,,,,,,,,,-0.51
October-2016,,,,,,,,,,,,8.0,1.42,7.66,-2.65,0.75,10.87,-1.42,,,,,,,,,,,,,,3.52
November-2016,,,,,,,,,,,,-9.88,1.88,-10.77,0.02,-5.07,-12.42,-4.32,,,,,,,,,,,,,,-5.79
December-2016,,,,,,,,,,,,-3.63,-5.9,1.13,1.91,-11.34,-3.04,0.38,,,,,,,,,,,,,,-2.93
January-2015,,,,,,,,,,,,,,,,,,,11.43,5.64,9.52,8.7,10.87,13.03,,,,,,,,9.86
February-2015,,,,,,,,,,,,,,,,,,,-1.51,-4.17,-0.74,7.1,-0.54,-0.76,,,,,,,,-0.1
March-2015,,,,,,,,,,,,,,,,,,,-0.85,10.27,2.24,-3.41,12.21,-4.21,,,,,,,,2.71
April-2015,,,,,,,,,,,,,,,,,,,-5.2,-3.11,0.89,-12.37,-8.1,-3.29,,,,,,,,-5.2
May-2015,,,,,,,,,,,,,,,,,,,4.2,11.44,1.43,4.12,2.8,6.26,,,,,,,,5.04
June-2015,,,,,,,,,,,,,,,,,,,-7.46,-1.27,6.27,-51.28,-9.48,1.56,,,,,,,,-10.28
July-2015,,,,,,,,,,,,,,,,,,,-0.04,-0.31,7.65,9.41,-5.89,4.1,,,,,,,,2.49
August-2015,,,,,,,,,,,,,,,,,,,-5.79,-15.31,-3.76,1.59,9.11,-7.47,,,,,,,,-3.6
September-2015,,,,,,,,,,,,,,,,,,,6.26,-4.65,12.52,5.96,-3.26,3.96,,,,,,,,3.46
October-2015,,,,,,,,,,,,,,,,,,,-2.69,3.18,-5.13,-2.1,2.37,2.63,,,,,,,,-0.29
November-2015,,,,,,,,,,,,,,,,,,,-4.97,-4.09,2.88,-4.19,-17.81,-1.92,,,,,,,,-5.02
December-2015,,,,,,,,,,,,,,,,,,,-0.83,1.61,0.84,1.48,12.22,0.63,,,,,,,,2.66
February-2014,,,,,,,,,,,,,,,,,,,,,,,,,-3.86,-8.77,-3.0,3.26,9.32,12.47,6.14,2.22
March-2014,,,,,,,,,,,,,,,,,,,,,,,,,3.27,10.92,24.28,-14.17,0.74,14.83,12.19,7.44
April-2014,,,,,,,,,,,,,,,,,,,,,,,,,-4.72,2.74,-2.71,-3.1,9.33,1.8,-4.09,-0.11
May-2014,,,,,,,,,,,,,,,,,,,,,,,,,3.49,4.99,18.33,-7.42,14.77,19.56,10.56,9.18
June-2014,,,,,,,,,,,,,,,,,,,,,,,,,0.15,-2.06,7.44,10.37,-6.71,9.86,3.43,3.21
July-2014,,,,,,,,,,,,,,,,,,,,,,,,,3.62,10.6,3.53,3.67,4.88,-11.61,1.5,2.31
August-2014,,,,,,,,,,,,,,,,,,,,,,,,,17.04,-0.78,10.29,6.78,16.86,1.52,1.12,7.55
September-2014,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,9.35,10.06,4.28,-3.17,-4.55,3.39,2.72
October-2014,,,,,,,,,,,,,,,,,,,,,,,,,4.31,-1.47,8.94,8.11,-4.32,13.54,4.67,4.83
November-2014,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,-4.1,-0.07,7.6,1.56,-0.89,4.96,1.27
December-2014,,,,,,,,,,,,,,,,,,,,,,,,,2.47,-7.62,-0.23,-54.78,-6.74,-8.76,-0.56,-10.89
