Month,NTPC LTD.18ER,BOSCH LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,TITAN COMPANY LIMITED18ER,WIPRO LTD.18ER,INFOSYS LTD.18ER,JSW STEEL LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,MAHINDRA & MAHINDRA LTD.18ER,ASIAN PAINTS LTD.18ER,LARSEN & TOUBRO LTD.18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,HINDUSTAN ZINC LTD.17ER,HCL TECHNOLOGIES LTD.17ER,BOSCH LTD.17ER,TITAN COMPANY LIMITED17ER,WIPRO LTD.17ER,JSW STEEL LTD.17ER,BAJAJ AUTO LTD.17ER,ASIAN PAINTS LTD.17ER,LARSEN & TOUBRO LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,HCL TECHNOLOGIES LTD.16ER,BOSCH LTD.16ER,TITAN COMPANY LIMITED16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,JSW STEEL LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,BAJAJ FINSERV LTD.16ER,ASIAN PAINTS LTD.16ER,LARSEN & TOUBRO LTD.16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,BOSCH LTD.15ER,TITAN COMPANY LIMITED15ER,JSW STEEL LTD.15ER,INDUSIND BANK LTD.15ER,ASIAN PAINTS LTD.15ER,LARSEN & TOUBRO LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,TATA CONSULTANCY SERVICES LTD.15ER,TITAN COMPANY LIMITED14ER,WIPRO LTD.14ER,SUN PHARMACEUTICAL INDUSTRIES LTD.14ER,JSW STEEL LTD.14ER,ASIAN PAINTS LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,meanER
March-2016,,,,,,,,,,,,,,,,,,,,,,,,0.22,23.89,7.1,26.31,13.81,-1.4,5.79,2.37,12.69,4.14,4.78,,,,,,,,,,,,,,,,9.06
April-2016,,,,,,,,,,,,,,,,,,,,,,,,-7.82,-5.21,4.9,-3.82,7.14,10.09,9.51,-0.07,3.07,-1.52,-0.33,,,,,,,,,,,,,,,,1.45
May-2016,,,,,,,,,,,,,,,,,,,,,,,,-1.41,13.44,1.07,-19.16,1.4,-0.53,-2.25,13.36,17.61,13.79,-1.93,,,,,,,,,,,,,,,,3.22
June-2016,,,,,,,,,,,,,,,,,,,,,,,,-1.26,1.28,12.67,7.32,5.3,7.87,27.15,1.99,1.49,1.11,5.73,,,,,,,,,,,,,,,,6.42
July-2016,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.38,3.55,12.22,14.25,2.66,17.28,11.06,4.13,9.71,2.55,,,,,,,,,,,,,,,,8.25
August-2016,,,,,,,,,,,,,,,,,,,,,,,,3.55,-3.15,-0.21,13.26,4.88,-1.97,9.07,4.0,-2.83,2.31,-0.53,,,,,,,,,,,,,,,,2.58
September-2016,,,,,,,,,,,,,,,,,,,,,,,,2.64,-6.07,-5.38,-2.26,-1.35,-2.23,3.62,0.25,-5.43,-0.93,-5.33,,,,,,,,,,,,,,,,-2.04
October-2016,,,,,,,,,,,,,,,,,,,,,,,,-3.97,-3.7,-3.49,18.89,-4.16,-6.25,10.87,-7.46,3.14,-0.88,-3.17,,,,,,,,,,,,,,,,-0.02
November-2016,,,,,,,,,,,,,,,,,,,,,,,,4.53,-6.28,-15.66,-9.01,4.03,-10.02,-12.42,-9.81,-6.37,-8.41,0.48,,,,,,,,,,,,,,,,-6.27
December-2016,,,,,,,,,,,,,,,,,,,,,,,,3.06,2.35,1.15,-3.47,-5.9,-0.13,-3.04,-8.09,-2.4,-0.18,-2.13,,,,,,,,,,,,,,,,-1.71
January-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.42,12.93,-6.7,8.53,14.06,13.61,11.51,-2.88,,,,,,,,9.18
February-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,-2.33,3.43,5.16,-4.56,3.93,5.57,7.83,,,,,,,,3.45
March-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.91,-6.78,-10.21,-3.65,-1.17,-2.71,-1.86,-4.79,,,,,,,,-4.14
April-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.34,-2.35,2.72,-6.63,-5.67,-5.03,-10.82,-3.16,,,,,,,,-5.28
May-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,-1.38,-1.76,6.16,3.16,1.4,5.65,5.84,,,,,,,,3.02
June-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.36,-3.01,-4.79,-0.3,-4.14,7.7,4.93,-2.24,,,,,,,,-1.15
July-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45,-11.55,-3.95,12.1,16.83,0.38,3.29,-1.65,,,,,,,,3.49
August-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.62,4.29,9.93,-12.35,-3.73,-10.3,-11.22,2.2,,,,,,,,-3.35
September-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.58,-5.8,-3.54,9.96,-0.88,-8.63,2.05,0.88,,,,,,,,-2.82
October-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,9.6,2.65,-3.3,-1.47,-3.79,3.62,-3.49,,,,,,,,1.16
November-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.71,9.55,-0.81,2.45,1.42,-2.63,-3.18,-5.29,,,,,,,,-0.9
December-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,-9.24,14.18,3.78,5.16,-7.16,3.73,3.13,,,,,,,,1.69
February-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,3.79,9.27,-4.73,0.15,-3.78,1.64,2.24
March-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36,-9.07,-10.79,18.48,15.55,9.99,-6.36,3.74
April-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.93,-3.8,10.15,4.56,-7.57,-6.09,2.87,-0.4
May-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.98,-3.26,-3.82,11.95,0.85,6.01,-2.06,4.52
June-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.48,7.91,12.98,2.11,16.34,3.09,12.84,9.82
July-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.29,-0.24,15.22,-4.67,6.15,10.65,6.52,4.33
August-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,4.0,8.08,5.61,-0.79,8.13,-2.04,4.2
September-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32,5.47,0.32,-7.08,0.84,0.62,8.46,2.99
October-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.54,-5.52,-1.37,8.97,4.25,-1.01,-4.88,-0.44
November-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.89,3.91,-0.71,-4.66,13.34,6.53,1.48,2.0
December-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,-5.41,-1.6,-12.91,1.08,-3.45,-3.34,-3.23
