Month,HCL TECHNOLOGIES LTD.18ER,SHREE CEMENT LTD.18ER,POWER GRID CORPORATION OF INDIA LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,BAJAJ FINSERV LTD.17ER,HERO MOTOCORP LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.16ER,NTPC LTD.16ER,BHARTI AIRTEL LTD.16ER,SHREE CEMENT LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.15ER,NTPC LTD.15ER,SHREE CEMENT LTD.15ER,BRITANNIA INDUSTRIES LTD.15ER,KOTAK MAHINDRA BANK LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,BHARTI INFRATEL LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,NTPC LTD.14ER,SHREE CEMENT LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,WIPRO LTD.14ER,AXIS BANK LTD.14ER,meanER
May-2017,,,0.1,-2.6,-8.26,,,,,,,,,,,,,,,,,,,,,-3.59
June-2017,,,1.32,4.57,-1.8,,,,,,,,,,,,,,,,,,,,,1.36
July-2017,,,5.94,6.15,21.47,,,,,,,,,,,,,,,,,,,,,11.19
August-2017,,,-2.11,7.41,10.08,,,,,,,,,,,,,,,,,,,,,5.13
September-2017,,,-3.53,3.12,-6.49,,,,,,,,,,,,,,,,,,,,,-2.3
October-2017,,,1.0,7.03,-2.38,,,,,,,,,,,,,,,,,,,,,1.88
November-2017,,,-3.2,2.87,3.97,,,,,,,,,,,,,,,,,,,,,1.21
December-2017,,,-2.72,-1.4,0.28,,,,,,,,,,,,,,,,,,,,,-1.28
January-2016,,,,,,-4.91,4.53,-2.54,-14.77,-8.71,-9.48,-5.27,,,,,,,,,,,,,,-5.88
February-2016,,,,,,-2.46,-11.86,-15.82,9.34,-3.78,2.82,1.58,,,,,,,,,,,,,,-2.88
March-2016,,,,,,17.75,6.92,7.6,10.78,23.25,-3.01,4.78,,,,,,,,,,,,,,9.72
April-2016,,,,,,-1.43,3.13,7.76,3.68,2.61,6.79,-0.33,,,,,,,,,,,,,,3.17
May-2016,,,,,,6.82,4.57,3.21,-3.34,3.56,-5.29,-1.93,,,,,,,,,,,,,,1.09
June-2016,,,,,,2.64,8.63,9.18,4.12,10.19,1.88,5.73,,,,,,,,,,,,,,6.05
July-2016,,,,,,0.8,7.95,1.31,-1.12,10.76,6.28,2.55,,,,,,,,,,,,,,4.08
August-2016,,,,,,10.64,4.6,0.5,-8.34,6.15,17.88,-0.53,,,,,,,,,,,,,,4.41
September-2016,,,,,,-3.75,-4.16,-6.75,-5.36,-0.51,-2.52,-5.33,,,,,,,,,,,,,,-4.05
October-2016,,,,,,-1.75,-0.79,1.85,1.42,-0.59,-1.61,-3.17,,,,,,,,,,,,,,-0.66
November-2016,,,,,,-5.53,9.75,7.87,1.88,-7.95,-8.3,0.48,,,,,,,,,,,,,,-0.26
December-2016,,,,,,-3.92,-4.45,0.95,-5.9,-5.42,-5.12,-2.13,,,,,,,,,,,,,,-3.71
January-2015,,,,,,,,,,,,,7.17,-0.21,16.41,2.63,4.57,22.82,,,,,,,,8.9
February-2015,,,,,,,,,,,,,6.02,8.31,-1.22,10.87,5.8,-2.47,,,,,,,,4.55
March-2015,,,,,,,,,,,,,-7.43,-5.39,-0.51,3.09,-6.03,-4.06,,,,,,,,-3.39
April-2015,,,,,,,,,,,,,-2.0,2.0,-5.18,1.61,1.58,-2.68,,,,,,,,-0.78
May-2015,,,,,,,,,,,,,0.98,-9.05,7.67,16.22,4.97,1.21,,,,,,,,3.67
June-2015,,,,,,,,,,,,,-3.2,0.8,3.02,8.41,-0.89,6.59,,,,,,,,2.45
July-2015,,,,,,,,,,,,,1.76,-2.1,0.56,14.22,-49.87,0.5,,,,,,,,-5.82
August-2015,,,,,,,,,,,,,-7.7,-10.04,-5.14,-7.2,-6.43,-6.47,,,,,,,,-7.16
September-2015,,,,,,,,,,,,,1.15,1.98,9.03,5.26,-0.32,-5.59,,,,,,,,1.92
October-2015,,,,,,,,,,,,,-2.57,7.23,4.68,4.68,6.13,-1.41,,,,,,,,3.12
November-2015,,,,,,,,,,,,,5.59,-1.28,-9.96,-9.39,0.52,0.95,,,,,,,,-2.26
December-2015,,,,,,,,,,,,,3.86,11.37,3.36,1.36,3.81,6.54,,,,,,,,5.05
February-2014,,,,,,,,,,,,,,,,,,,4.89,-0.94,-10.92,5.87,0.47,3.79,13.07,2.32
March-2014,,,,,,,,,,,,,,,,,,,13.01,11.05,6.53,20.51,-4.94,-9.07,15.37,7.49
April-2014,,,,,,,,,,,,,,,,,,,6.41,0.67,-3.08,0.77,2.32,-3.8,4.02,1.04
May-2014,,,,,,,,,,,,,,,,,,,6.83,15.13,37.51,19.74,1.95,-3.26,20.86,14.11
June-2014,,,,,,,,,,,,,,,,,,,10.22,14.29,-2.47,6.51,14.45,7.91,4.64,7.94
July-2014,,,,,,,,,,,,,,,,,,,0.67,-4.6,-6.99,1.57,13.63,-0.24,-79.61,-10.8
August-2014,,,,,,,,,,,,,,,,,,,2.34,-2.6,-5.03,6.94,8.92,4.0,1.39,2.28
September-2014,,,,,,,,,,,,,,,,,,,12.4,4.64,0.69,6.83,12.09,5.47,-4.91,5.32
October-2014,,,,,,,,,,,,,,,,,,,-0.71,7.39,8.15,8.28,9.61,-5.52,16.13,6.19
November-2014,,,,,,,,,,,,,,,,,,,1.91,-2.17,-4.9,-1.44,7.73,3.91,9.64,2.1
December-2014,,,,,,,,,,,,,,,,,,,12.61,-2.88,1.05,4.88,11.57,-5.41,4.37,3.74
