Month,BOSCH LTD.HQ,BRITANNIA INDUSTRIES LTD.HQ,TITAN COMPANY LIMITEDHQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,meanHQ,SHREE CEMENT LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,VEDANTA LIMITED18ER,JSW STEEL LTD.18ER,BAJAJ FINSERV LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,NESTLE INDIA LTD.17ER,HCL TECHNOLOGIES LTD.17ER,VEDANTA LIMITED17ER,JSW STEEL LTD.17ER,TECH MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,BAJAJ FINANCE LIMITED17ER,KOTAK MAHINDRA BANK LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,NESTLE INDIA LTD.16ER,VEDANTA LIMITED16ER,JSW STEEL LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,BAJAJ FINSERV LTD.16ER,BAJAJ FINANCE LIMITED16ER,AXIS BANK LTD.16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,NESTLE INDIA LTD.15ER,VEDANTA LIMITED15ER,JSW STEEL LTD.15ER,TECH MAHINDRA LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,HINDUSTAN ZINC LTD.14ER,NESTLE INDIA LTD.14ER,VEDANTA LIMITED14ER,JSW STEEL LTD.14ER,meanER
November-2016,-6.28,-8.3,-15.66,0.02,-2.7,-6.58,,,,,,,,,,,,,,,,,-9.88,13.48,4.03,-3.94,-12.42,-14.92,-3.7,-8.41,,,,,,,,,,-4.47
December-2016,2.35,-5.12,1.15,1.91,3.61,0.78,,,,,,,,,,,,,,,,,-3.63,-5.85,-5.9,-1.48,-3.04,-8.72,-4.2,-0.18,,,,,,,,,,-4.12
January-2017,5.44,8.5,11.37,-3.57,-8.05,2.74,,,,,,,-3.11,-2.24,17.04,-87.79,-7.56,,11.96,23.47,7.44,8.23,,,,,,,,,,,,,,,,,,-3.62
February-2017,-2.5,3.26,20.36,6.87,8.93,7.38,,,,,,,7.07,3.86,2.35,-5.9,10.65,,22.33,6.86,3.68,0.18,,,,,,,,,,,,,,,,,,5.68
March-2017,5.52,4.76,5.65,5.5,0.84,4.45,,,,,,,6.81,3.92,6.02,0.48,-8.05,,3.12,6.03,8.88,9.76,,,,,,,,,,,,,,,,,,4.11
April-2017,0.66,7.23,2.16,-4.12,-9.93,-0.8,,,,,,,0.32,-6.96,-11.32,6.08,-9.28,15.45,11.76,8.67,3.38,2.31,,,,,,,,,,,,,,,,,,2.04
May-2017,1.63,-2.6,0.73,8.71,6.26,2.95,,,,,,,-0.68,6.52,-1.89,-2.49,-6.49,0.88,-8.26,3.85,6.98,2.15,,,,,,,,,,,,,,,,,,0.06
June-2017,-0.0,4.57,10.3,-51.83,-4.23,-8.24,,,,,,,0.99,-1.7,4.21,4.74,-2.19,9.64,-1.8,3.72,-0.94,2.94,,,,,,,,,,,,,,,,,,1.96
July-2017,3.14,6.15,3.74,11.69,8.09,6.56,,,,,,,0.4,4.49,12.29,8.93,1.02,12.68,21.47,23.86,6.73,10.51,,,,,,,,,,,,,,,,,,10.24
August-2017,-8.33,7.41,13.51,3.48,-9.49,1.32,,,,,,,5.2,-3.02,10.19,15.06,11.11,13.26,10.08,4.79,-4.3,-0.6,,,,,,,,,,,,,,,,,,6.18
September-2017,-6.88,3.12,-5.5,-6.05,-1.81,-3.42,,,,,,,1.71,1.46,1.88,-2.51,6.82,3.66,-6.49,2.88,2.66,-1.96,,,,,,,,,,,,,,,,,,1.01
October-2017,2.45,7.03,8.86,4.64,2.55,5.11,,,,,,,-0.02,-2.17,5.72,3.83,5.27,5.62,-2.38,-1.92,2.26,-1.92,,,,,,,,,,,,,,,,,,1.43
November-2017,-3.29,2.87,29.13,-0.75,5.78,6.75,,,,,,,5.94,-0.89,-10.88,-1.3,1.65,-1.89,3.97,-3.91,-2.38,-1.73,,,,,,,,,,,,,,,,,,-1.14
December-2017,-1.1,-1.4,4.51,7.4,6.6,3.2,,,,,,,2.55,5.04,11.48,5.97,2.97,5.67,0.28,1.59,0.89,1.94,,,,,,,,,,,,,,,,,,3.84
January-2018,-3.78,-0.92,1.52,-2.79,10.71,0.95,-4.58,5.88,2.96,7.58,-8.16,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
February-2018,-3.38,6.68,-6.11,-3.89,2.05,-0.93,-3.11,-4.71,-2.96,7.57,5.11,-1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
March-2018,-2.96,-0.27,15.35,-3.88,-3.39,0.97,-2.98,-13.13,-15.53,-7.71,2.41,-3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.77
April-2018,6.98,10.77,4.23,-0.96,5.73,5.35,4.1,14.61,7.26,12.88,5.87,15.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02
May-2018,-5.8,7.7,-8.12,-6.04,2.71,-1.91,-0.05,-3.51,-16.48,2.21,10.32,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49
June-2018,-4.31,4.48,-2.5,-0.19,6.08,0.71,-7.6,-5.15,-5.44,-1.73,-3.8,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.89
July-2018,6.92,5.38,3.6,5.89,4.46,5.25,9.69,7.55,-5.73,1.01,20.06,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03
August-2018,17.63,3.11,-2.17,8.98,5.49,6.61,11.11,-4.19,2.23,20.19,-3.31,-1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
September-2018,-9.9,-13.85,-9.57,7.48,-49.45,-15.06,-11.2,-14.32,2.0,-4.07,-11.34,-11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.33
October-2018,0.18,-2.87,4.79,2.25,-5.72,-0.27,-17.46,-2.85,-8.85,-11.02,-9.79,-2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7
November-2018,-4.78,-43.93,9.67,-2.01,-2.88,-8.79,18.57,14.67,-7.31,-7.06,11.19,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
December-2018,3.8,-1.29,0.46,1.66,-1.0,0.73,4.47,5.86,3.35,-2.64,7.89,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
