meanHQ,Month,BHARTI INFRATEL LTD.HQ,HERO MOTOCORP LTD.HQ,GAIL (INDIA) LTD.HQ,DABUR INDIA LTD.HQ,POWER GRID CORPORATION OF INDIA LTD.HQ,NESTLE INDIA LTD.HQ,NTPC LTD.HQ,BHARTI AIRTEL LTD.HQ,HCL TECHNOLOGIES LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.HQ,MARUTI SUZUKI INDIA LTD.HQ,TITAN COMPANY LIMITED18ER,WIPRO LTD.18ER,TATA STEEL LTD.18ER,GODREJ CONSUMER PRODUCTS LTD.18ER,TECH MAHINDRA LTD.18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,BAJAJ AUTO LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,INDIAN OIL CORPORATION LTD.18ER,ASIAN PAINTS LTD.18ER,LARSEN & TOUBRO LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,STATE BANK OF INDIA18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,HDFC BANK LTD18ER,TATA CONSULTANCY SERVICES LTD.18ER,COAL INDIA LTD.18ER,ITC LTD.18ER,AXIS BANK LTD.18ER,ICICI BANK LTD.18ER,SHREE CEMENT LTD.18ER,TITAN COMPANY LIMITED17ER,WIPRO LTD.17ER,TATA STEEL LTD.17ER,GODREJ CONSUMER PRODUCTS LTD.17ER,BHARAT PETROLEUM CORPORATION LTD.17ER,BAJAJ AUTO LTD.17ER,INDUSIND BANK LTD.17ER,INDIAN OIL CORPORATION LTD.17ER,LARSEN & TOUBRO LTD.17ER,KOTAK MAHINDRA BANK LTD.17ER,STATE BANK OF INDIA17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,TATA CONSULTANCY SERVICES LTD.17ER,COAL INDIA LTD.17ER,ITC LTD.17ER,AXIS BANK LTD.17ER,ICICI BANK LTD.17ER,SHREE CEMENT LTD.17ER,TITAN COMPANY LIMITED16ER,WIPRO LTD.16ER,INFOSYS LTD.16ER,TATA STEEL LTD.16ER,GODREJ CONSUMER PRODUCTS LTD.16ER,TECH MAHINDRA LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,BAJAJ AUTO LTD.16ER,INDUSIND BANK LTD.16ER,INDIAN OIL CORPORATION LTD.16ER,LARSEN & TOUBRO LTD.16ER,KOTAK MAHINDRA BANK LTD.16ER,STATE BANK OF INDIA16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,TATA CONSULTANCY SERVICES LTD.16ER,COAL INDIA LTD.16ER,ITC LTD.16ER,AXIS BANK LTD.16ER,ICICI BANK LTD.16ER,SHREE CEMENT LTD.16ER,TITAN COMPANY LIMITED15ER,WIPRO LTD.15ER,INFOSYS LTD.15ER,GODREJ CONSUMER PRODUCTS LTD.15ER,TECH MAHINDRA LTD.15ER,BHARAT PETROLEUM CORPORATION LTD.15ER,BAJAJ AUTO LTD.15ER,INDUSIND BANK LTD.15ER,INDIAN OIL CORPORATION LTD.15ER,LARSEN & TOUBRO LTD.15ER,KOTAK MAHINDRA BANK LTD.15ER,STATE BANK OF INDIA15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,HDFC BANK LTD15ER,TATA CONSULTANCY SERVICES LTD.15ER,BRITANNIA INDUSTRIES LTD.15ER,COAL INDIA LTD.15ER,ITC LTD.15ER,AXIS BANK LTD.15ER,ICICI BANK LTD.15ER,SHREE CEMENT LTD.15ER,TITAN COMPANY LIMITED14ER,WIPRO LTD.14ER,TATA STEEL LTD.14ER,TECH MAHINDRA LTD.14ER,BHARAT PETROLEUM CORPORATION LTD.14ER,BAJAJ AUTO LTD.14ER,MAHINDRA & MAHINDRA LTD.14ER,INDUSIND BANK LTD.14ER,BAJAJ FINSERV LTD.14ER,INDIAN OIL CORPORATION LTD.14ER,BAJAJ FINANCE LIMITED14ER,LARSEN & TOUBRO LTD.14ER,KOTAK MAHINDRA BANK LTD.14ER,STATE BANK OF INDIA14ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,RELIANCE INDUSTRIES LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,COAL INDIA LTD.14ER,ITC LTD.14ER,ICICI BANK LTD.14ER,SHREE CEMENT LTD.14ER,meanER
-7.57,May-2015,-19.43,-15.74,-8.25,-7.5,-0.98,-4.2,9.05,-11.44,-15.04,-8.32,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,-4.28,-4.12,0.7,11.05,-10.95,-18.75,-6.16,1.21,-1.4,-4.97,-3.0,-5.65,-1.21,-6.26,-5.84,-16.22,-7.8,-1.4,-3.06,4.21,-7.67,,,,,,,,,,,,,,,,,,,,,,,,-4.1
2.64,June-2015,6.82,6.37,-0.55,-3.53,3.2,7.46,-0.8,1.27,8.97,6.15,-6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,3.11,51.28,-17.21,13.75,-3.25,-9.53,0.3,-8.05,-7.7,0.89,5.52,-4.93,-6.59,-1.56,2.24,-8.41,-7.6,3.58,4.55,2.93,-3.02,,,,,,,,,,,,,,,,,,,,,,,,0.61
-0.45,July-2015,-0.34,-5.95,9.34,-4.62,-1.76,0.04,2.1,0.31,-8.2,11.82,-7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,-4.59,-9.41,-11.35,-10.75,-5.49,0.65,-12.1,-12.13,-0.38,49.87,-2.89,-3.29,-0.5,-4.1,1.65,-14.22,-4.33,-3.54,-2.7,1.79,-0.56,,,,,,,,,,,,,,,,,,,,,,,,-1.67
9.25,August-2015,10.8,10.36,16.65,6.7,7.7,5.79,10.04,15.31,2.51,12.18,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.29,-0.4,-1.59,2.59,2.64,4.52,10.49,12.35,3.85,10.3,6.43,8.62,11.22,6.47,7.47,-2.2,7.2,16.61,0.28,11.69,8.07,5.14,,,,,,,,,,,,,,,,,,,,,,,,5.79
-0.52,September-2015,11.21,0.07,-1.97,-0.95,-1.15,-6.26,-1.98,4.65,-1.09,4.3,-12.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,-4.5,-5.96,8.93,-8.23,3.84,-2.43,-9.96,3.03,8.63,0.32,3.99,-2.05,5.59,-3.96,-0.88,-5.26,10.88,-1.11,2.2,2.82,-9.03,,,,,,,,,,,,,,,,,,,,,,,,0.12
-1.28,October-2015,-9.61,-7.9,-2.18,2.21,2.57,2.69,-7.23,-3.18,11.46,-8.0,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,3.99,2.1,-3.95,3.43,-2.5,-10.38,3.3,0.75,3.79,-6.13,0.02,-3.62,1.41,-2.63,3.49,-4.68,2.02,-1.76,4.16,-2.5,-4.68,,,,,,,,,,,,,,,,,,,,,,,,-1.09
-1.45,November-2015,1.07,-4.55,-18.32,-1.28,-5.59,4.97,1.28,4.09,-0.26,5.47,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.55,0.1,4.19,2.69,1.02,-3.84,2.67,-2.45,-5.45,2.63,-0.52,-5.59,3.18,-0.95,1.92,5.29,9.39,-3.38,-2.54,1.28,1.05,9.96,,,,,,,,,,,,,,,,,,,,,,,,0.5
-3.01,December-2015,-11.35,0.27,-2.78,-1.08,-3.86,0.83,-11.37,-1.61,1.88,-3.24,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24,2.25,-1.48,-7.23,2.21,1.21,-2.09,-3.78,-1.85,7.16,-3.81,10.4,-3.73,-6.54,-0.63,-3.13,-1.36,0.6,4.55,4.13,4.62,-3.36,,,,,,,,,,,,,,,,,,,,,,,,0.34
6.14,January-2016,15.79,4.91,2.21,9.6,-4.53,5.73,2.54,14.77,-1.23,6.53,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.96,-0.25,-5.46,3.66,7.17,3.84,-0.13,7.56,4.32,6.43,13.6,5.03,19.81,6.74,1.97,2.63,2.47,9.2,11.99,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
8.52,February-2016,1.11,2.46,17.04,4.9,11.86,8.71,15.82,-9.34,6.19,14.15,20.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07,7.36,6.96,0.38,2.88,17.25,13.94,6.04,10.36,8.44,2.08,7.64,11.98,9.85,8.75,2.77,7.42,8.06,17.43,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
-10.24,March-2016,-7.15,-17.75,-17.01,-4.77,-6.92,-15.09,-7.6,-10.78,-0.22,-10.64,-14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.1,-8.36,-12.38,-28.26,-16.01,-14.55,-17.12,-9.35,-16.46,-7.13,-12.69,-8.05,-22.66,-4.14,-15.31,6.17,-10.9,-18.47,-24.5,-23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.53
-1.65,April-2016,1.94,1.43,-1.11,-10.6,-3.13,0.44,-7.76,-3.68,7.82,-1.47,-2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9,1.71,0.58,-9.72,4.11,-2.47,-8.56,-3.26,-8.43,-10.03,-3.07,-5.08,2.75,1.52,-0.56,1.68,0.99,-6.23,-0.02,-2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.58
-2.83,May-2016,-0.25,-6.82,-2.93,-5.24,-4.57,-6.18,-3.21,3.34,1.41,3.1,-9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07,1.35,-3.22,4.59,-12.4,-10.51,-0.26,-5.41,-5.18,3.96,-17.61,-4.35,-8.41,-13.79,-1.78,-1.58,-8.25,-9.18,-3.63,-3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.01
-3.14,June-2016,8.21,-2.64,-3.87,-6.28,-8.63,-6.39,-9.18,-4.12,1.26,-2.44,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.67,-2.22,6.33,3.75,-7.79,5.94,-9.02,-2.57,-0.64,-5.98,-1.49,-2.2,-6.74,-1.11,0.94,-7.37,-4.69,-3.46,2.04,-10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.96
-4.55,July-2016,-14.6,-0.8,0.78,1.46,-7.95,-10.43,-1.31,1.12,-3.0,-1.69,-13.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.55,2.34,8.27,-10.21,0.69,3.89,44.62,-0.59,-6.06,-23.33,-4.13,0.16,-4.76,-9.71,-2.66,-4.74,31.42,-2.36,-9.43,-10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05
-0.14,August-2016,11.22,-10.64,-0.5,4.28,-4.6,8.46,-0.5,8.34,-3.55,-7.77,-6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,10.05,3.46,-4.43,4.45,3.7,-1.65,-10.32,-0.59,-5.95,2.83,-5.89,-10.26,-2.31,4.05,-1.72,-3.01,-9.08,1.96,-6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.53
0.72,September-2016,-4.02,3.75,2.62,6.67,4.16,2.0,6.75,5.36,-2.64,-8.29,-8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,2.62,-0.13,-1.07,-4.19,10.41,-1.72,4.99,-0.96,-1.22,5.43,3.46,0.73,0.93,3.4,3.33,7.11,9.03,2.1,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51
-3.99,October-2016,4.71,1.75,-15.51,-7.7,0.79,-8.0,-1.85,-1.42,3.97,-12.95,-7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,2.65,3.43,-8.08,-1.23,-4.67,-9.43,-0.05,0.14,44.48,-3.14,-5.35,-2.85,0.88,1.34,-1.07,-0.14,9.98,-9.79,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
-0.07,November-2016,-7.91,5.53,1.68,3.03,-9.75,9.88,-7.87,-1.88,-4.53,0.33,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,-0.02,2.7,-2.55,9.46,-10.44,3.94,5.28,8.81,5.49,6.37,7.83,-0.21,8.41,4.92,5.46,3.72,3.7,4.33,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54
4.91,December-2016,8.43,3.92,-3.1,2.22,4.45,3.63,-0.95,5.9,-3.06,33.75,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.15,-1.91,-3.61,5.75,-4.12,-0.68,1.48,1.86,-1.66,-6.49,2.4,4.91,3.35,0.18,-3.74,2.66,-3.46,4.2,3.66,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
-3.52,January-2017,14.55,-4.42,-6.68,0.29,-12.59,3.11,-4.89,-13.93,2.24,-5.59,-10.77,,,,,,,,,,,,,,,,,,,,,,-11.37,3.57,-18.23,-4.57,-7.35,-7.74,-13.1,-12.41,-7.07,-7.44,-4.1,-8.23,-3.49,5.59,-3.3,-7.1,-3.53,-5.39,-5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.34
-0.49,February-2017,3.1,1.39,-10.68,0.14,7.04,-7.07,5.59,-4.96,-3.86,4.33,-0.45,,,,,,,,,,,,,,,,,,,,,,-20.36,-6.87,-4.38,-4.41,1.7,2.8,-4.9,-5.16,-1.77,-3.68,-3.54,-0.18,-1.14,-10.61,-3.84,-1.59,-8.64,-2.73,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.38
0.1,March-2017,-14.37,-2.83,27.2,-0.47,-2.71,-6.81,-1.75,4.16,-3.92,4.32,-1.71,,,,,,,,,,,,,,,,,,,,,,-5.65,-5.5,0.0,-1.17,3.08,-1.79,-7.27,-0.47,-7.3,-8.88,-8.69,-9.76,-5.19,1.44,9.01,-6.98,3.03,-0.25,-5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.06
