meanHQ,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ,PIDILITE INDUSTRIES LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,AVENUE SUPERMARTS LTD18ER,INDUSIND BANK LTD.18ER,ULTRATECH CEMENT LTD.18ER,INDIAN OIL CORPORATION LTD.18ER,ASIAN PAINTS LTD.18ER,BAJAJ FINANCE LIMITED18ER,LARSEN & TOUBRO LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,HDFC BANK LTD18ER,RELIANCE INDUSTRIES LTD.18ER,ITC LTD.18ER,GAIL (INDIA) LTD.18ER,OIL AND NATURAL GAS CORPORATION LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,HINDUSTAN ZINC LTD.18ER,PIDILITE INDUSTRIES LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,INDIAN OIL CORPORATION LTD.17ER,ASIAN PAINTS LTD.17ER,LARSEN & TOUBRO LTD.17ER,KOTAK MAHINDRA BANK LTD.17ER,HDFC BANK LTD17ER,RELIANCE INDUSTRIES LTD.17ER,ITC LTD.17ER,HERO MOTOCORP LTD.17ER,GAIL (INDIA) LTD.17ER,OIL AND NATURAL GAS CORPORATION LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,HINDUSTAN ZINC LTD.17ER,PIDILITE INDUSTRIES LTD.16ER,INDIAN OIL CORPORATION LTD.16ER,ASIAN PAINTS LTD.16ER,LARSEN & TOUBRO LTD.16ER,KOTAK MAHINDRA BANK LTD.16ER,RELIANCE INDUSTRIES LTD.16ER,ITC LTD.16ER,GAIL (INDIA) LTD.16ER,OIL AND NATURAL GAS CORPORATION LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,HINDUSTAN ZINC LTD.16ER,PIDILITE INDUSTRIES LTD.15ER,BHARAT PETROLEUM CORPORATION LTD.15ER,MAHINDRA & MAHINDRA LTD.15ER,ULTRATECH CEMENT LTD.15ER,INDIAN OIL CORPORATION LTD.15ER,ASIAN PAINTS LTD.15ER,BAJAJ FINANCE LIMITED15ER,LARSEN & TOUBRO LTD.15ER,KOTAK MAHINDRA BANK LTD.15ER,RELIANCE INDUSTRIES LTD.15ER,ITC LTD.15ER,HERO MOTOCORP LTD.15ER,GAIL (INDIA) LTD.15ER,OIL AND NATURAL GAS CORPORATION LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,HINDUSTAN ZINC LTD.15ER,PIDILITE INDUSTRIES LTD.14ER,TECH MAHINDRA LTD.14ER,BHARAT PETROLEUM CORPORATION LTD.14ER,MAHINDRA & MAHINDRA LTD.14ER,ULTRATECH CEMENT LTD.14ER,BAJAJ FINSERV LTD.14ER,INDIAN OIL CORPORATION LTD.14ER,ASIAN PAINTS LTD.14ER,LARSEN & TOUBRO LTD.14ER,KOTAK MAHINDRA BANK LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,RELIANCE INDUSTRIES LTD.14ER,ITC LTD.14ER,GAIL (INDIA) LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,OIL AND NATURAL GAS CORPORATION LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,HINDUSTAN ZINC LTD.14ER,meanER
16.85,December-2014,-9.7,1.6,-4.37,79.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.05,1.9,13.41,6.74,-7.28,-14.01,9.08,-1.08,8.76,-5.07,3.34,10.06,-1.49,8.81,2.88,10.09,0.23,-4.25,1.34
-9.34,January-2015,-6.92,-10.87,-17.26,-2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,-15.55,-2.31,-17.54,-4.72,-14.06,-16.16,-13.61,-4.57,-2.72,-0.05,7.54,4.65,-3.0,-9.52,-2.61,,,,,,,,,,,,,,,,,,,-6.2
0.9,February-2015,2.94,0.54,-4.2,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.11,-2.26,0.08,4.38,4.56,-7.88,-3.93,-5.8,5.36,1.99,6.51,2.53,7.54,0.74,-0.77,,,,,,,,,,,,,,,,,,,0.93
2.99,March-2015,6.79,-12.21,8.64,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.25,-8.65,8.08,8.36,-10.92,1.17,6.11,2.71,6.03,4.8,9.91,1.49,5.96,5.59,-2.24,8.12,,,,,,,,,,,,,,,,,,,2.45
-0.35,April-2015,-3.1,8.1,-1.33,-5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.46,3.54,7.27,2.17,5.67,2.12,5.03,-1.58,-4.63,0.98,11.85,7.37,0.72,-0.89,-4.6,,,,,,,,,,,,,,,,,,,2.89
-0.89,May-2015,-1.9,-2.8,-3.06,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,-10.95,-10.05,-11.65,1.21,-3.16,-5.22,-1.4,-4.97,-1.66,-1.4,-15.74,-8.25,-8.32,-1.43,0.12,,,,,,,,,,,,,,,,,,,-5.03
5.46,June-2015,4.87,9.48,4.55,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,-3.25,-1.67,-0.5,-8.05,4.14,-29.34,-7.7,0.89,-14.06,3.58,6.37,-0.55,6.15,-6.27,1.24,,,,,,,,,,,,,,,,,,,-3.05
-0.07,July-2015,-5.25,5.89,-2.7,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-5.49,-6.28,-5.29,-12.13,-16.83,-0.73,-0.38,49.87,-0.12,-3.54,-5.95,9.34,11.82,-7.65,5.99,,,,,,,,,,,,,,,,,,,0.71
0.31,August-2015,-9.4,-9.11,11.69,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.37,4.52,10.18,7.99,3.85,3.73,8.6,10.3,6.43,14.46,0.28,10.36,16.65,12.18,3.76,19.14,,,,,,,,,,,,,,,,,,,8.13
5.96,September-2015,15.56,3.26,2.2,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,3.84,-3.09,7.53,3.03,0.88,-1.47,8.63,0.32,-0.43,-1.11,0.07,-1.97,4.3,-12.52,-10.0,,,,,,,,,,,,,,,,,,,-0.08
0.14,October-2015,1.27,-2.37,4.16,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,-2.5,6.2,-7.61,0.75,1.47,-2.29,3.79,-6.13,-10.15,-1.76,-7.9,-2.18,-8.0,5.13,-12.39,,,,,,,,,,,,,,,,,,,-2.66
7.35,November-2015,9.25,17.81,1.28,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,-3.84,-15.62,2.66,-5.45,-1.42,-5.61,2.63,-0.52,-2.13,-2.54,-4.55,-18.32,5.47,-2.88,8.44,,,,,,,,,,,,,,,,,,,-2.68
-0.16,December-2015,2.83,-12.22,4.13,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,1.21,7.0,0.78,-1.85,-5.16,-9.19,7.16,-3.81,-4.61,4.55,0.27,-2.78,-3.24,-0.84,-2.02,,,,,,,,,,,,,,,,,,,-0.74
8.28,January-2016,18.38,-6.47,9.2,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,6.43,1.7,13.6,5.03,-2.22,2.47,2.21,6.53,11.22,-9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
8.84,February-2016,7.8,2.06,8.06,17.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.52,8.44,2.34,2.08,7.64,6.62,7.42,17.04,14.15,20.86,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58
-16.28,March-2016,-26.31,4.16,-18.47,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94,-7.13,-2.37,-12.69,-8.05,-8.14,-10.9,-17.01,-10.64,-14.69,-14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.74
-0.36,April-2016,3.82,0.99,-6.23,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-10.03,0.07,-3.07,-5.08,6.0,0.99,-1.11,-1.47,-2.04,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.04
3.08,May-2016,19.16,5.99,-9.18,-3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.05,3.96,-13.36,-17.61,-4.35,2.4,-8.25,-2.93,3.1,-9.83,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.76
-2.22,June-2016,-7.32,-0.12,-3.46,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,-5.98,-1.99,-1.49,-2.2,-1.09,-4.69,-3.87,-2.44,-0.41,-5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.86
-8.17,July-2016,-12.22,-8.66,-2.36,-9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.46,-23.33,-11.06,-4.13,0.16,-4.75,31.42,0.78,-1.69,-13.62,-13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.73
-3.44,August-2016,-13.26,6.62,-9.08,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,-5.95,-4.0,2.83,-5.89,-4.19,-3.01,-0.5,-7.77,-6.26,-11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.76
4.38,September-2016,2.26,4.15,9.03,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,-1.22,-0.25,5.43,3.46,-2.28,7.11,2.62,-8.29,-8.44,-2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22
-4.86,October-2016,-18.89,-0.75,9.98,-9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,44.48,7.46,-3.14,-5.35,2.86,-0.14,-15.51,-12.95,-7.66,-8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42
5.53,November-2016,9.01,5.07,3.7,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02,5.49,9.81,6.37,7.83,5.56,3.72,1.68,0.33,10.77,-11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
5.67,December-2016,3.47,11.34,4.2,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,-6.49,8.09,2.4,4.91,-8.8,-3.46,-3.1,33.75,-1.13,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
-4.66,January-2017,-9.44,-0.29,-3.53,-5.39,,,,,,,,,,,,,,,,,,-14.19,,-11.96,-12.41,-8.91,-7.07,-7.44,-6.87,3.4,-7.1,-4.42,-6.68,-5.59,-10.77,-16.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.35
-5.43,February-2017,-2.85,-7.51,-8.64,-2.73,,,,,,,,,,,,,,,,,,-1.19,,-22.33,-5.16,-5.53,-1.77,-3.68,-7.95,-18.67,-1.59,1.39,-10.68,4.33,-0.45,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.46
-2.78,March-2017,-12.61,-1.29,3.03,-0.25,,,,,,,,,,,,,,,,,,-2.48,,-3.12,-0.47,-4.56,-7.3,-8.88,-3.82,-6.54,-6.98,-2.83,27.2,4.32,-1.71,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78
1.51,April-2017,3.8,6.57,-3.83,-0.51,,,,,,,,,,,,,,,,,,-2.7,-15.45,-11.76,-13.73,-4.52,-10.8,-3.38,-6.92,-5.73,0.66,-2.69,-12.56,-0.68,-8.32,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.11
0.05,May-2017,-3.69,21.97,-0.9,-17.16,,,,,,,,,,,,,,,,,,-7.06,-0.88,8.26,1.82,-2.95,-0.67,-6.98,-5.91,3.89,-11.95,-13.05,1.91,4.97,-10.56,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9
-1.7,June-2017,-6.93,-10.59,-0.37,11.09,,,,,,,,,,,,,,,,,,-4.48,-9.64,1.8,10.87,4.2,4.09,0.94,-1.16,-2.96,-3.83,1.23,13.15,11.16,-0.04,-9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
-2.46,July-2017,-9.35,4.11,-0.53,-4.08,,,,,,,,,,,,,,,,,,1.03,-12.68,-21.47,4.56,-5.01,29.37,-6.73,-7.93,-16.92,11.95,1.15,-4.35,-7.66,-6.79,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.25
3.89,August-2017,0.98,9.66,3.51,1.42,,,,,,,,,,,,,,,,,,-5.21,-13.26,-10.08,-23.57,-0.75,4.71,4.3,0.47,1.26,1.03,-9.41,-0.42,7.29,0.07,-4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.22
1.18,September-2017,4.14,-4.76,-1.63,6.95,,,,,,,,,,,,,,,,,,5.16,-3.66,6.49,11.87,4.37,-0.46,-2.66,-1.58,50.92,8.49,5.43,-10.79,-8.69,-3.51,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08
-8.86,October-2017,-14.38,-9.98,-2.8,-8.3,,,,,,,,,,,,,,,,,,1.37,-5.62,2.38,-3.56,-5.7,-6.96,-2.26,-0.32,-20.28,-3.04,-1.95,-10.94,-11.98,-3.06,-6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.24
1.16,November-2017,7.31,2.43,-2.48,-2.62,,,,,,,,,,,,,,,,,,-7.85,1.89,-3.97,5.02,2.79,0.31,2.38,-2.39,1.93,3.93,5.51,-0.81,5.52,-4.69,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97
-3.52,December-2017,-1.45,-5.71,-4.93,-2.01,,,,,,,,,,,,,,,,,,-7.03,-5.67,-0.28,1.3,-0.88,-3.3,-0.89,-1.16,0.17,-2.91,-3.95,-6.08,-7.81,-13.12,-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.65
-6.32,January-2018,-5.88,-1.5,-5.51,-12.4,0.73,-10.62,0.03,-6.3,-1.37,-7.56,2.32,4.51,-12.7,-9.97,-7.09,-4.35,-3.1,3.8,-4.47,2.23,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.19
8.56,February-2018,4.71,7.59,10.75,11.18,-0.21,-7.93,-14.22,4.24,5.16,9.22,1.08,2.11,6.88,1.89,6.11,0.91,2.27,4.44,7.3,6.74,-5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82
8.9,March-2018,13.13,7.46,3.81,11.2,-2.3,1.62,1.52,-6.89,4.96,53.51,-0.17,-7.77,0.55,3.69,-0.41,7.31,3.47,28.1,5.68,0.11,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92
-6.27,April-2018,-14.61,-6.61,-1.7,-2.17,-18.3,-14.43,-12.52,-5.71,-4.11,7.94,-7.09,-7.7,-6.76,-15.43,-2.81,-9.1,-9.98,1.1,-1.52,0.46,-8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.74
1.83,May-2018,3.51,9.09,-4.87,-0.4,-6.34,5.18,-4.85,-2.62,9.13,-7.24,-8.79,-10.6,2.36,-10.46,-9.85,4.34,3.5,-7.77,1.75,3.26,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.74
-0.5,June-2018,5.15,-16.74,6.06,3.54,8.0,7.39,5.33,0.45,-1.8,10.4,3.18,-8.96,7.04,-0.36,1.32,-5.61,2.04,2.88,10.8,-3.35,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
-6.69,July-2018,-7.55,-1.09,-7.78,-10.33,-5.61,-9.97,-11.51,-2.84,-10.2,-5.45,-14.57,-17.48,-2.46,2.42,-3.46,-21.88,-11.71,-10.16,-4.61,-7.77,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.17
-10.41,August-2018,4.19,-15.1,-18.01,-12.73,-3.83,7.83,2.85,4.54,-6.69,5.35,5.33,-5.95,-5.11,1.83,5.45,-4.65,-7.39,0.71,-8.73,4.3,-6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64
8.85,September-2018,14.32,4.42,5.68,10.99,10.48,15.11,13.13,11.39,9.27,1.57,5.62,24.19,7.48,11.04,2.74,-1.39,7.03,-1.75,1.5,19.2,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21
