Month,OIL AND NATURAL GAS CORPORATION LTD.18ER,PIDILITE INDUSTRIES LTD.18ER,GODREJ CONSUMER PRODUCTS LTD.18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,HINDUSTAN UNILEVER LTD.18ER,RELIANCE INDUSTRIES LTD.18ER,OIL AND NATURAL GAS CORPORATION LTD.17ER,PIDILITE INDUSTRIES LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,BHARTI INFRATEL LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.16ER,OIL AND NATURAL GAS CORPORATION LTD.16ER,PIDILITE INDUSTRIES LTD.16ER,INDIAN OIL CORPORATION LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,GAIL (INDIA) LTD.15ER,OIL AND NATURAL GAS CORPORATION LTD.15ER,PIDILITE INDUSTRIES LTD.15ER,INDIAN OIL CORPORATION LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,GAIL (INDIA) LTD.14ER,OIL AND NATURAL GAS CORPORATION LTD.14ER,COAL INDIA LTD.14ER,PIDILITE INDUSTRIES LTD.14ER,INDIAN OIL CORPORATION LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,meanER
July-2015,,,,,,,,,,,,,,,,-9.34,-11.82,1.2,12.13,0.5,,,,,,,-1.47
August-2015,,,,,,,,,,,,,,,,-16.65,-12.18,2.37,-3.85,-6.47,,,,,,,-7.36
September-2015,,,,,,,,,,,,,,,,1.97,-4.3,-0.66,-3.03,-5.59,,,,,,,-2.32
October-2015,,,,,,,,,,,,,,,,2.18,8.0,-1.01,-0.75,-1.41,,,,,,,1.4
November-2015,,,,,,,,,,,,,,,,18.32,-5.47,-0.76,5.45,0.95,,,,,,,3.7
December-2015,,,,,,,,,,,,,,,,2.78,3.24,-0.66,1.85,6.54,,,,,,,2.75
February-2014,,,,,,,,,,,,,,,,,,,,,2.97,5.83,-1.41,2.12,1.14,-3.78,1.15
March-2014,,,,,,,,,,,,,,,,,,,,,1.66,9.31,17.99,6.63,12.45,9.99,9.67
April-2014,,,,,,,,,,,,,,,,,,,,,-1.69,2.23,1.32,4.14,-5.86,-6.09,-0.99
May-2014,,,,,,,,,,,,,,,,,,,,,2.11,16.1,27.24,-4.81,37.39,6.01,14.01
June-2014,,,,,,,,,,,,,,,,,,,,,22.57,12.02,3.81,7.68,-4.35,3.09,7.47
July-2014,,,,,,,,,,,,,,,,,,,,,-5.62,-6.69,-4.24,14.06,-3.98,10.65,0.7
August-2014,,,,,,,,,,,,,,,,,,,,,1.71,10.07,-3.4,10.23,8.28,8.13,5.84
September-2014,,,,,,,,,,,,,,,,,,,,,1.14,-5.99,-4.22,-3.07,0.74,0.62,-1.8
